,Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min,sofifa_id,player_url,short_name,long_name,age,nationality,club_name,league_name,player_positions,potential,weight_kg,foot,best_overall,best_position,growth,joined,loan_date_end,value,wage,release_clause,total_attacking,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,total_skill,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,total_movement,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,total_power,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,total_mentality,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,total_defending,defending_marking,defending_standing_tackle,defending_sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_positioning,gk_reflexes,total_stats,base_stats,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,international_reputation,pace_/_diving,shooting_/_handling,passing_/_kicking,dribbling_/_reflexes,defending_/_pace,physical_/_positioning,season
30,2019-2020,Manchester United,David de Gea,3510,65,37,28,0.0079772079772079,193080.0,/player/193080/david-de-gea-quintana/200061/,De Gea,David de Gea,28.0,Spain,Manchester United,[England] Premier Le,GK,88.0,82kg / 181lbs,Right,88.0,GK,0.0,"Jul 1, 2011",,€43.5M,€195K,€82.7M,114.0,17.0,13.0,21.0,50.0,13.0,143.0,18.0,21.0,19.0,47.0,38.0,307.0,57.0,58.0,63.0,86.0,43.0,241.0,59.0,67.0,43.0,60.0,12.0,174.0,38.0,30.0,12.0,65.0,29.0,68.0,59.0,25.0,21.0,13.0,424.0,90.0,81.0,84.0,91.0,1462.0,482.0,3.0,1.0,Medium,Medium,4.0,90.0,81.0,78.0,91.0,58.0,84.0,2019-2020
31,2019-2020,Manchester United,Victor Lindelöf,3184,60,33,27,0.0084798994974874,221660.0,/player/221660/victor-lindelof/200061/,V. Lindelöf,Victor Lindelöf,24.0,Sweden,Manchester United,[England] Premier Le,CDM,85.0,80kg / 176lbs,Right,82.0,CDM,4.0,"Jul 1, 2017",,€21M,€95K,€41.5M,299.0,62.0,42.0,78.0,79.0,38.0,348.0,71.0,64.0,59.0,78.0,76.0,359.0,71.0,76.0,67.0,83.0,62.0,351.0,70.0,76.0,77.0,76.0,52.0,339.0,81.0,81.0,51.0,72.0,54.0,83.0,247.0,83.0,84.0,80.0,52.0,12.0,16.0,7.0,9.0,1995.0,427.0,4.0,3.0,Medium,High,2.0,74.0,50.0,72.0,72.0,82.0,77.0,2019-2020
32,2019-2020,Manchester United,Harry Maguire,3510,65,37,28,0.0079772079772079,203263.0,/player/203263/harry-maguire/200061/,H. Maguire,Harry Maguire,26.0,England,Manchester United,[England] Premier Le,CB,86.0,100kg / 220lbs,Right,84.0,CB,3.0,"Aug 5, 2019",,€28.5M,€135K,€56.3M,310.0,51.0,48.0,86.0,78.0,47.0,314.0,71.0,44.0,46.0,77.0,76.0,292.0,47.0,53.0,54.0,82.0,56.0,366.0,68.0,84.0,74.0,88.0,52.0,342.0,84.0,82.0,61.0,71.0,44.0,83.0,243.0,81.0,83.0,79.0,62.0,14.0,16.0,14.0,9.0,1929.0,408.0,3.0,2.0,High,High,2.0,50.0,53.0,68.0,71.0,82.0,84.0,2019-2020
33,2019-2020,Manchester United,Paul Pogba,1204,31,9,22,0.0182724252491694,195864.0,/player/195864/paul-pogba/200061/,P. Pogba,Paul Pogba,26.0,France,Manchester United,[England] Premier Le,CM,88.0,84kg / 185lbs,Right,87.0,CM,1.0,"Aug 9, 2016",,€58M,€210K,€114.6M,400.0,80.0,75.0,75.0,86.0,84.0,434.0,87.0,85.0,82.0,90.0,90.0,366.0,67.0,79.0,73.0,81.0,66.0,427.0,90.0,82.0,84.0,89.0,82.0,396.0,78.0,64.0,83.0,88.0,83.0,87.0,195.0,63.0,67.0,65.0,20.0,5.0,6.0,4.0,3.0,2238.0,477.0,4.0,5.0,High,Medium,4.0,74.0,81.0,86.0,85.0,66.0,85.0,2019-2020
34,2019-2020,Manchester United,Anthony Martial,2724,56,27,29,0.0106461086637298,211300.0,/player/211300/anthony-martial/200061/,A. Martial,Anthony Martial,23.0,France,Manchester United,[England] Premier Le,ST,87.0,76kg / 168lbs,Right,84.0,ST,4.0,"Sep 1, 2015",,€34.5M,€140K,€68.1M,377.0,72.0,82.0,71.0,78.0,74.0,372.0,87.0,82.0,54.0,63.0,86.0,421.0,88.0,89.0,84.0,81.0,79.0,381.0,83.0,70.0,75.0,76.0,77.0,340.0,58.0,42.0,82.0,77.0,81.0,80.0,109.0,34.0,39.0,36.0,51.0,9.0,8.0,15.0,11.0,2051.0,442.0,3.0,4.0,Medium,Medium,3.0,89.0,81.0,73.0,86.0,41.0,72.0,2019-2020
35,2019-2020,Manchester United,Marcus Rashford,2655,56,28,28,0.0105461393596986,231677.0,/player/231677/marcus-rashford/200061/,M. Rashford,Marcus Rashford,21.0,England,Manchester United,[England] Premier Le,RM,89.0,70kg / 154lbs,Right,85.0,RM,5.0,"Jul 1, 2014",,€41.5M,€120K,€83M,383.0,75.0,83.0,72.0,77.0,76.0,395.0,86.0,82.0,76.0,67.0,84.0,429.0,89.0,94.0,86.0,85.0,75.0,406.0,90.0,72.0,87.0,76.0,81.0,358.0,73.0,42.0,84.0,79.0,80.0,80.0,120.0,47.0,40.0,33.0,53.0,11.0,6.0,7.0,14.0,2144.0,460.0,3.0,5.0,High,Medium,2.0,92.0,84.0,76.0,85.0,45.0,78.0,2019-2020
36,2019-2020,Manchester United,Bruno Fernandes,1193,28,6,22,0.0184409052808046,212198.0,/player/212198/bruno-miguel-borges-fernandes/200061/,Bruno Fernandes,Bruno Miguel Borges Fernandes,24.0,Portugal,Manchester United,[England] Premier Le,CAM,89.0,69kg / 152lbs,Right,87.0,CAM,3.0,"Jan 30, 2020",,€56.5M,€165K,€111.6M,394.0,87.0,77.0,58.0,86.0,86.0,432.0,85.0,86.0,87.0,87.0,87.0,399.0,79.0,77.0,80.0,84.0,79.0,411.0,89.0,72.0,94.0,67.0,89.0,405.0,70.0,74.0,83.0,88.0,90.0,86.0,195.0,72.0,68.0,55.0,63.0,12.0,14.0,8.0,14.0,2299.0,476.0,4.0,4.0,High,High,2.0,78.0,83.0,87.0,85.0,68.0,75.0,2019-2020
37,2019-2020,Manchester United,Mason Greenwood,1295,35,14,21,0.0162162162162162,246147.0,/player/246147/mason-greenwood/200061/,M. Greenwood,Mason Greenwood,17.0,England,Manchester United,[England] Premier Le,ST,89.0,70kg / 154lbs,Left,75.0,ST,15.0,"Oct 2, 2018",,€11M,€17K,€27.8M,339.0,64.0,74.0,66.0,71.0,64.0,342.0,73.0,67.0,65.0,65.0,72.0,373.0,78.0,81.0,78.0,72.0,64.0,346.0,76.0,63.0,69.0,65.0,73.0,296.0,55.0,34.0,74.0,69.0,64.0,73.0,107.0,35.0,39.0,33.0,34.0,5.0,6.0,9.0,8.0,1837.0,397.0,5.0,3.0,High,Medium,1.0,80.0,73.0,68.0,73.0,39.0,64.0,2019-2020
38,2019-2020,Manchester United,Nemanja Matić,1673,36,15,21,0.0125523012552301,191202.0,/player/191202/nemanja-matic/200061/,N. Matić,Nemanja Matić,30.0,Serbia,Manchester United,[England] Premier Le,CDM,80.0,83kg / 183lbs,Left,80.0,CDM,0.0,"Jul 31, 2017",,€12M,€105K,€22.8M,359.0,71.0,59.0,74.0,82.0,73.0,376.0,79.0,70.0,67.0,83.0,77.0,261.0,45.0,51.0,43.0,75.0,47.0,370.0,84.0,65.0,66.0,83.0,72.0,361.0,77.0,80.0,69.0,71.0,64.0,81.0,236.0,80.0,82.0,74.0,57.0,7.0,15.0,14.0,9.0,2020.0,421.0,3.0,3.0,Low,Medium,3.0,48.0,68.0,76.0,73.0,79.0,77.0,2019-2020
39,2019-2020,Manchester United,Brandon Williams,1069,19,12,7,0.0065481758652946,243414.0,/player/243414/brandon-williams/200061/,B. Williams,Brandon Williams,18.0,England,Manchester United,[England] Premier Le,LB,86.0,70kg / 154lbs,Right,73.0,LB,14.0,"Apr 30, 2018",,€6M,€16K,€15.2M,299.0,64.0,54.0,59.0,69.0,53.0,288.0,72.0,57.0,30.0,59.0,70.0,373.0,79.0,84.0,76.0,70.0,64.0,326.0,68.0,72.0,74.0,62.0,50.0,318.0,80.0,72.0,65.0,60.0,41.0,70.0,206.0,68.0,69.0,69.0,48.0,10.0,13.0,7.0,7.0,1858.0,408.0,3.0,3.0,High,Medium,1.0,82.0,56.0,62.0,71.0,68.0,69.0,2019-2020
40,2019-2020,Manchester United,Juan Mata,718,7,8,-1,-0.0013927576601671,178088.0,/player/178088/juan-manuel-mata-garcia/200061/,Juan Mata,Juan Manuel Mata García,31.0,Spain,Manchester United,[England] Premier Le,CAM,80.0,63kg / 139lbs,Left,80.0,CAM,0.0,"Jan 25, 2014",,€13M,€115K,€24.7M,362.0,80.0,71.0,56.0,84.0,71.0,413.0,81.0,85.0,84.0,78.0,85.0,366.0,62.0,56.0,78.0,81.0,89.0,298.0,74.0,61.0,60.0,34.0,69.0,330.0,46.0,39.0,82.0,83.0,80.0,85.0,90.0,38.0,31.0,21.0,46.0,9.0,10.0,5.0,8.0,1905.0,375.0,3.0,4.0,Medium,Medium,3.0,59.0,72.0,82.0,82.0,36.0,44.0,2019-2020
41,2019-2020,Manchester United,Jesse Lingard,919,16,12,4,0.0043525571273122,207494.0,/player/207494/jesse-lingard/200061/,J. Lingard,Jesse Lingard,26.0,England,Manchester United,[England] Premier Le,CAM,78.0,62kg / 137lbs,Right,78.0,CAM,0.0,"Jul 1, 2011",,€11M,€100K,€20.9M,366.0,74.0,74.0,67.0,77.0,74.0,366.0,78.0,79.0,68.0,63.0,78.0,407.0,79.0,78.0,86.0,80.0,84.0,373.0,79.0,70.0,84.0,62.0,78.0,355.0,74.0,54.0,80.0,77.0,70.0,77.0,169.0,63.0,57.0,49.0,54.0,14.0,10.0,13.0,9.0,2090.0,435.0,3.0,4.0,High,High,2.0,78.0,76.0,74.0,79.0,58.0,70.0,2019-2020
42,2019-2020,Manchester United,Fred,2249,34,27,7,0.0031124944419742,209297.0,/player/209297/frederico-r-de-paula-santos/200061/,Fred,Frederico R. de Paula Santos,26.0,Brazil,Manchester United,[England] Premier Le,CM,82.0,62kg / 137lbs,Left,82.0,CM,2.0,"Jun 21, 2018",,€16M,€105K,€31.6M,346.0,74.0,69.0,53.0,80.0,70.0,393.0,81.0,74.0,74.0,81.0,83.0,412.0,79.0,77.0,86.0,83.0,87.0,370.0,78.0,80.0,86.0,56.0,70.0,380.0,81.0,82.0,71.0,80.0,66.0,82.0,225.0,74.0,79.0,72.0,64.0,7.0,16.0,11.0,15.0,2190.0,455.0,4.0,4.0,High,High,1.0,78.0,71.0,78.0,83.0,75.0,70.0,2019-2020
43,2019-2020,Manchester United,Daniel James,2365,32,29,3,0.0012684989429175,232104.0,/player/232104/daniel-james/200061/,D. James,Daniel James,21.0,Wales,Manchester United,[England] Premier Le,RM,83.0,76kg / 168lbs,Right,78.0,RM,6.0,"Jun 12, 2019",,€12M,€69K,€26.3M,308.0,74.0,68.0,44.0,72.0,50.0,337.0,75.0,70.0,54.0,62.0,76.0,430.0,96.0,95.0,84.0,74.0,81.0,338.0,78.0,53.0,86.0,52.0,69.0,314.0,68.0,40.0,74.0,68.0,64.0,70.0,123.0,50.0,39.0,34.0,48.0,7.0,6.0,15.0,9.0,1898.0,416.0,4.0,3.0,High,High,1.0,95.0,69.0,69.0,76.0,43.0,64.0,2019-2020
44,2019-2020,Manchester United,Aaron Wan-Bissaka,3161,62,34,28,0.0088579563429294,229880.0,/player/229880/aaron-wan-bissaka/200061/,A. Wan-Bissaka,Aaron Wan-Bissaka,21.0,England,Manchester United,[England] Premier Le,RB,89.0,72kg / 159lbs,Right,83.0,RB,7.0,"Jun 29, 2019",,€27.5M,€88K,€58.8M,290.0,71.0,44.0,58.0,74.0,43.0,322.0,82.0,62.0,45.0,56.0,77.0,411.0,85.0,88.0,85.0,80.0,73.0,325.0,68.0,62.0,78.0,71.0,46.0,347.0,78.0,82.0,67.0,64.0,56.0,76.0,256.0,81.0,85.0,90.0,39.0,9.0,8.0,8.0,8.0,1990.0,440.0,2.0,4.0,Medium,High,1.0,87.0,51.0,67.0,80.0,81.0,74.0,2019-2020
45,2019-2020,Manchester United,Scott McTominay,1752,27,18,9,0.0051369863013698,237238.0,/player/237238/scott-mctominay/200061/,S. McTominay,Scott McTominay,22.0,Scotland,Manchester United,[England] Premier Le,CDM,86.0,88kg / 194lbs,Right,81.0,CDM,7.0,"Jul 1, 2013",,€17.5M,€95K,€36.8M,355.0,70.0,66.0,77.0,80.0,62.0,359.0,77.0,70.0,55.0,79.0,78.0,351.0,69.0,68.0,71.0,78.0,65.0,396.0,81.0,70.0,85.0,85.0,75.0,360.0,80.0,79.0,68.0,74.0,59.0,78.0,231.0,78.0,81.0,72.0,42.0,9.0,6.0,10.0,11.0,2094.0,450.0,3.0,3.0,High,High,1.0,68.0,70.0,75.0,76.0,78.0,83.0,2019-2020
46,2018-2019,Manchester United,David de Gea,3420,65,51,14,0.0040935672514619,193080.0,/player/193080/david-de-gea-quintana/190075/,De Gea,David de Gea,27.0,Spain,Manchester United,[England] Premier Le,GK,92.0,82kg / 181lbs,Right,88.0,GK,2.0,"Jul 1, 2011",,€62.5M,€200K,€123.4M,114.0,17.0,13.0,21.0,50.0,13.0,143.0,18.0,21.0,19.0,47.0,38.0,308.0,57.0,58.0,62.0,88.0,43.0,217.0,31.0,67.0,43.0,64.0,12.0,174.0,38.0,30.0,12.0,65.0,29.0,70.0,59.0,25.0,21.0,13.0,436.0,90.0,84.0,86.0,93.0,1451.0,494.0,3.0,1.0,Medium,Medium,4.0,90.0,84.0,83.0,93.0,58.0,86.0,2018-2019
47,2018-2019,Manchester United,Phil Jones,1255,29,16,13,0.0103585657370517,194957.0,/player/194957/phil-jones/190075/,P. Jones,Phil Jones,26.0,England,Manchester United,[England] Premier Le,CB,80.0,71kg / 157lbs,Right,78.0,CB,1.0,"Jul 1, 2011",,€12M,€110K,€23.7M,304.0,60.0,44.0,78.0,73.0,49.0,262.0,58.0,38.0,35.0,67.0,64.0,297.0,54.0,59.0,52.0,77.0,55.0,347.0,68.0,82.0,64.0,79.0,54.0,312.0,86.0,80.0,42.0,54.0,50.0,65.0,237.0,76.0,80.0,81.0,51.0,10.0,8.0,16.0,11.0,1810.0,386.0,3.0,2.0,Medium,High,2.0,57.0,51.0,62.0,60.0,79.0,77.0,2018-2019
48,2018-2019,Manchester United,Paul Pogba,3011,56,41,15,0.0049817336433078,195864.0,/player/195864/paul-pogba/190075/,P. Pogba,Paul Pogba,25.0,France,Manchester United,[England] Premier Le,CM,91.0,84kg / 185lbs,Right,85.0,CM,3.0,"Aug 9, 2016",,€73M,€250K,€144.2M,401.0,80.0,75.0,75.0,86.0,85.0,434.0,87.0,85.0,82.0,90.0,90.0,374.0,71.0,79.0,76.0,82.0,66.0,430.0,90.0,83.0,88.0,87.0,82.0,395.0,78.0,64.0,83.0,88.0,82.0,87.0,197.0,63.0,67.0,67.0,20.0,5.0,6.0,4.0,3.0,2251.0,479.0,4.0,5.0,High,Medium,4.0,75.0,81.0,86.0,86.0,66.0,85.0,2018-2019
49,2018-2019,Manchester United,Marcus Rashford,2362,45,34,11,0.0046570702794242,231677.0,/player/231677/marcus-rashford/190075/,M. Rashford,Marcus Rashford,20.0,England,Manchester United,[England] Premier Le,ST,90.0,70kg / 154lbs,Right,83.0,ST,7.0,"Jul 1, 2014",,€37.5M,€130K,€78.8M,376.0,74.0,81.0,73.0,76.0,72.0,394.0,84.0,81.0,80.0,65.0,84.0,430.0,90.0,93.0,88.0,82.0,77.0,396.0,87.0,68.0,86.0,76.0,79.0,350.0,73.0,42.0,84.0,76.0,75.0,78.0,110.0,37.0,40.0,33.0,53.0,11.0,6.0,7.0,14.0,2109.0,451.0,3.0,5.0,High,High,2.0,92.0,81.0,74.0,84.0,42.0,78.0,2018-2019
50,2018-2019,Manchester United,Chris Smalling,2128,35,33,2,0.0009398496240601,189881.0,/player/189881/chris-smalling/190075/,C. Smalling,Chris Smalling,28.0,England,Manchester United,[England] Premier Le,CB,80.0,81kg / 179lbs,Right,79.0,CB,0.0,"Jul 1, 2010",,€12M,€120K,€22.8M,302.0,52.0,54.0,82.0,65.0,49.0,252.0,59.0,49.0,22.0,64.0,58.0,315.0,63.0,74.0,55.0,75.0,48.0,312.0,42.0,76.0,71.0,88.0,35.0,316.0,82.0,80.0,48.0,54.0,52.0,67.0,243.0,80.0,82.0,81.0,71.0,10.0,15.0,15.0,15.0,1811.0,395.0,3.0,2.0,Medium,High,3.0,69.0,47.0,57.0,59.0,81.0,82.0,2018-2019
51,2018-2019,Manchester United,Jesse Lingard,1661,35,24,11,0.0066225165562913,207494.0,/player/207494/jesse-lingard/190075/,J. Lingard,Jesse Lingard,25.0,England,Manchester United,[England] Premier Le,CAM,83.0,62kg / 137lbs,Right,82.0,CAM,1.0,"Jul 1, 2011",,€26.5M,€150K,€52.3M,372.0,76.0,79.0,67.0,80.0,70.0,376.0,83.0,80.0,63.0,66.0,84.0,416.0,82.0,79.0,86.0,83.0,86.0,374.0,80.0,69.0,89.0,56.0,80.0,367.0,74.0,53.0,86.0,83.0,71.0,84.0,159.0,65.0,50.0,44.0,54.0,14.0,10.0,13.0,9.0,2118.0,445.0,3.0,4.0,High,High,2.0,80.0,79.0,77.0,84.0,56.0,69.0,2018-2019
52,2018-2019,Manchester United,Andreas Pereira,580,7,12,-5,-0.0086206896551724,208450.0,/player/208450/andreas-hugo-hoelgebaum-pereira/190075/,Andreas Pereira,Andreas Hugo Hoelgebaum Pereira,22.0,Brazil,Manchester United,[England] Premier Le,CAM,82.0,71kg / 157lbs,Right,77.0,CAM,5.0,"Jan 1, 2013",,€11.5M,€90K,€22.7M,357.0,78.0,71.0,56.0,80.0,72.0,395.0,78.0,80.0,80.0,77.0,80.0,385.0,78.0,74.0,79.0,74.0,80.0,354.0,76.0,62.0,74.0,65.0,77.0,360.0,73.0,70.0,71.0,76.0,70.0,72.0,195.0,67.0,65.0,63.0,53.0,15.0,14.0,10.0,7.0,2099.0,441.0,4.0,4.0,Medium,Medium,1.0,76.0,73.0,78.0,79.0,66.0,69.0,2018-2019
53,2018-2019,Manchester United,Ashley Young,2601,50,42,8,0.0030757400999615,152908.0,/player/152908/ashley-young/190075/,A. Young,Ashley Young,32.0,England,Manchester United,[England] Premier Le,RB,79.0,65kg / 143lbs,Right,77.0,RB,0.0,"Jul 1, 2011",,€7M,€110K,€13.3M,350.0,81.0,64.0,57.0,77.0,71.0,377.0,75.0,85.0,75.0,65.0,77.0,381.0,77.0,74.0,76.0,78.0,76.0,336.0,75.0,55.0,74.0,69.0,63.0,362.0,84.0,78.0,68.0,72.0,60.0,74.0,228.0,74.0,78.0,76.0,72.0,16.0,10.0,16.0,15.0,2106.0,440.0,3.0,4.0,High,Medium,2.0,75.0,66.0,75.0,76.0,75.0,73.0,2018-2019
54,2018-2019,Manchester United,Diogo Dalot,1001,21,16,5,0.0049950049950049,234574.0,/player/234574/jose-diogo-dalot-teixeira/190075/,Diogo Dalot,José Diogo Dalot Teixeira,19.0,Portugal,Manchester United,[England] Premier Le,RM,85.0,76kg / 168lbs,Right,74.0,RM,11.0,"Jun 9, 2018",,€8M,€30K,€16.8M,312.0,77.0,52.0,65.0,74.0,44.0,332.0,78.0,75.0,44.0,60.0,75.0,370.0,78.0,77.0,69.0,76.0,70.0,369.0,76.0,77.0,78.0,74.0,64.0,333.0,80.0,71.0,73.0,66.0,43.0,76.0,205.0,69.0,69.0,67.0,40.0,10.0,6.0,6.0,8.0,1961.0,426.0,3.0,3.0,High,Medium,1.0,77.0,59.0,69.0,76.0,69.0,76.0,2018-2019
55,2018-2019,Manchester United,Scott McTominay,840,12,16,-4,-0.0047619047619047,237238.0,/player/237238/scott-mctominay/190075/,S. McTominay,Scott McTominay,21.0,Scotland,Manchester United,[England] Premier Le,CDM,83.0,88kg / 194lbs,Right,74.0,CDM,8.0,"Jul 1, 2013",,€8.5M,€60K,€17.9M,327.0,66.0,58.0,74.0,76.0,53.0,306.0,70.0,56.0,34.0,71.0,75.0,311.0,62.0,65.0,64.0,69.0,51.0,365.0,74.0,69.0,77.0,81.0,64.0,342.0,74.0,75.0,63.0,71.0,59.0,76.0,215.0,72.0,74.0,69.0,42.0,9.0,6.0,10.0,11.0,1908.0,416.0,3.0,3.0,Medium,High,1.0,64.0,62.0,69.0,70.0,73.0,78.0,2018-2019
56,2018-2019,Manchester United,Juan Mata,1289,28,15,13,0.0100853374709076,178088.0,/player/178088/juan-manuel-mata-garcia/190075/,Juan Mata,Juan Manuel Mata García,30.0,Spain,Manchester United,[England] Premier Le,CAM,82.0,61kg / 134lbs,Left,82.0,CAM,0.0,"Jan 25, 2014",,€21M,€150K,€39.9M,373.0,83.0,78.0,56.0,85.0,71.0,418.0,81.0,85.0,86.0,80.0,86.0,389.0,69.0,62.0,84.0,85.0,89.0,316.0,74.0,67.0,68.0,35.0,72.0,339.0,50.0,39.0,84.0,86.0,80.0,87.0,90.0,38.0,31.0,21.0,46.0,9.0,10.0,5.0,8.0,1971.0,392.0,3.0,4.0,Medium,Medium,3.0,65.0,76.0,84.0,83.0,36.0,48.0,2018-2019
57,2018-2019,Manchester United,Anthony Martial,1616,31,23,8,0.0049504950495049,211300.0,/player/211300/anthony-martial/190075/,A. Martial,Anthony Martial,22.0,France,Manchester United,[England] Premier Le,RW,90.0,76kg / 168lbs,Right,83.0,RW,6.0,"Sep 1, 2015",,€42.5M,€160K,€89.3M,378.0,73.0,84.0,69.0,78.0,74.0,373.0,88.0,84.0,54.0,60.0,87.0,423.0,88.0,89.0,85.0,80.0,81.0,387.0,84.0,74.0,75.0,75.0,79.0,337.0,58.0,42.0,82.0,74.0,81.0,80.0,109.0,34.0,39.0,36.0,51.0,9.0,8.0,15.0,11.0,2058.0,444.0,3.0,4.0,Medium,Low,3.0,89.0,82.0,73.0,87.0,41.0,72.0,2018-2019
58,2018-2019,Manchester United,Fred,1037,17,19,-2,-0.0019286403085824,209297.0,/player/209297/frederico-r-de-paula-santos/190075/,Fred,Frederico R. de Paula Santos,25.0,Brazil,Manchester United,[England] Premier Le,CM,82.0,64kg / 141lbs,Left,79.0,CM,2.0,"Jun 21, 2018",,€18M,€120K,€35.6M,344.0,67.0,72.0,55.0,80.0,70.0,382.0,79.0,70.0,72.0,80.0,81.0,406.0,79.0,76.0,84.0,80.0,87.0,378.0,76.0,83.0,84.0,61.0,74.0,365.0,76.0,79.0,69.0,76.0,65.0,82.0,225.0,74.0,80.0,71.0,64.0,7.0,16.0,11.0,15.0,2164.0,453.0,4.0,4.0,High,High,1.0,77.0,73.0,76.0,81.0,75.0,71.0,2018-2019
59,2018-2019,Manchester United,Antonio Valencia,466,7,5,2,0.0042918454935622,167905.0,/player/167905/antonio-valencia/190075/,A. Valencia,Antonio Valencia,32.0,Ecuador,Manchester United,[England] Premier Le,RB,78.0,83kg / 183lbs,Right,78.0,RB,0.0,"Jun 30, 2009",,€5.5M,€100K,€10.5M,341.0,78.0,60.0,62.0,77.0,64.0,361.0,77.0,70.0,66.0,69.0,79.0,388.0,79.0,82.0,72.0,77.0,78.0,375.0,85.0,69.0,76.0,79.0,66.0,349.0,80.0,80.0,66.0,68.0,55.0,78.0,231.0,77.0,78.0,76.0,51.0,16.0,11.0,7.0,7.0,2096.0,451.0,2.0,3.0,High,Medium,2.0,81.0,66.0,73.0,77.0,76.0,78.0,2018-2019
60,2017-2018,Manchester United,Eric Bailly,990,24,5,19,0.0191919191919191,225508.0,/player/225508/eric-bailly/180084/,E. Bailly,Eric Bailly,23.0,Côte d'Ivoire,Manchester United,[England] Premier Le,CB,89.0,77kg / 170lbs,Right,83.0,CB,5.0,"Jul 1, 2016",,€35.5M,€150K,€68.3M,279.0,51.0,33.0,81.0,72.0,42.0,276.0,63.0,46.0,43.0,56.0,68.0,359.0,75.0,80.0,63.0,78.0,63.0,350.0,55.0,84.0,78.0,85.0,48.0,319.0,87.0,85.0,47.0,54.0,46.0,74.0,252.0,82.0,85.0,85.0,55.0,14.0,14.0,9.0,8.0,1890.0,412.0,3.0,2.0,Medium,High,2.0,78.0,42.0,59.0,65.0,84.0,84.0,2017-2018
61,2017-2018,Manchester United,Marcos Rojo,642,13,8,5,0.0077881619937694,201862.0,/player/201862/marcos-rojo/180084/,M. Rojo,Marcos Rojo,27.0,Argentina,Manchester United,[England] Premier Le,CB,81.0,80kg / 176lbs,Left,79.0,CB,1.0,"Aug 20, 2014",,€14M,€120K,€27M,327.0,75.0,50.0,81.0,72.0,49.0,332.0,67.0,67.0,57.0,73.0,68.0,352.0,71.0,72.0,71.0,75.0,63.0,378.0,79.0,82.0,74.0,80.0,63.0,348.0,92.0,78.0,57.0,57.0,64.0,71.0,234.0,78.0,79.0,77.0,52.0,7.0,8.0,15.0,10.0,2023.0,428.0,2.0,3.0,Medium,High,3.0,72.0,59.0,69.0,68.0,79.0,81.0,2017-2018
62,2017-2018,Manchester United,Alexis Sánchez,2555,47,30,17,0.0066536203522504,184941.0,/player/184941/alexis-sanchez/180084/,A. Sánchez,Alexis Sánchez,28.0,Chile,Manchester United,[England] Premier Le,LW,88.0,62kg / 137lbs,Right,85.0,LW,0.0,"Jan 22, 2018",,€60M,€325K,€111M,397.0,81.0,84.0,70.0,79.0,83.0,407.0,90.0,79.0,78.0,73.0,87.0,438.0,88.0,84.0,92.0,87.0,87.0,409.0,84.0,85.0,86.0,72.0,82.0,374.0,80.0,50.0,85.0,82.0,77.0,86.0,109.0,30.0,44.0,35.0,60.0,10.0,10.0,12.0,13.0,2194.0,458.0,3.0,4.0,High,Medium,4.0,86.0,83.0,79.0,89.0,43.0,78.0,2017-2018
63,2017-2018,Manchester United,Juan Mata,1925,34,9,25,0.0129870129870129,178088.0,/player/178088/juan-manuel-mata-garcia/180084/,Juan Mata,Juan Manuel Mata García,29.0,Spain,Manchester United,[England] Premier Le,CAM,83.0,63kg / 139lbs,Left,82.0,CAM,0.0,"Jan 25, 2014",,€25.5M,€150K,€47.2M,378.0,84.0,78.0,59.0,86.0,71.0,417.0,82.0,84.0,84.0,79.0,88.0,392.0,71.0,63.0,85.0,84.0,89.0,338.0,75.0,72.0,78.0,43.0,70.0,343.0,54.0,39.0,83.0,86.0,81.0,86.0,77.0,25.0,31.0,21.0,46.0,9.0,10.0,5.0,8.0,1991.0,400.0,3.0,3.0,Medium,Medium,3.0,67.0,76.0,84.0,85.0,33.0,55.0,2017-2018
64,2017-2018,Manchester United,Ashley Young,2440,43,24,19,0.0077868852459016,152908.0,/player/152908/ashley-young/180084/,A. Young,Ashley Young,31.0,England,Manchester United,[England] Premier Le,LB,79.0,65kg / 143lbs,Right,78.0,LB,0.0,"Jul 1, 2011",,€8M,€120K,€14.8M,362.0,87.0,64.0,59.0,79.0,73.0,387.0,78.0,86.0,72.0,71.0,80.0,396.0,80.0,78.0,81.0,80.0,77.0,343.0,75.0,57.0,75.0,67.0,69.0,359.0,75.0,76.0,67.0,76.0,65.0,70.0,217.0,72.0,74.0,71.0,72.0,16.0,10.0,16.0,15.0,2136.0,447.0,3.0,3.0,High,Medium,2.0,79.0,68.0,79.0,79.0,72.0,70.0,2017-2018
