,Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min,sofifa_id,player_url,short_name,long_name,age,nationality,club_name,league_name,player_positions,potential,weight_kg,foot,best_overall,best_position,growth,joined,loan_date_end,value,wage,release_clause,total_attacking,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,total_skill,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,total_movement,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,total_power,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,total_mentality,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,total_defending,defending_marking,defending_standing_tackle,defending_sliding_tackle,total_goalkeeping,gk_diving,gk_handling,gk_positioning,gk_reflexes,total_stats,base_stats,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,international_reputation,pace_/_diving,shooting_/_handling,passing_/_kicking,dribbling_/_reflexes,defending_/_pace,physical_/_positioning,season
10,2021-2022,Manchester United,Marcus Rashford,1233,18,28,-10,-0.008110300081103,231677.0,/player/231677/marcus-rashford/220069/,M. Rashford,Marcus Rashford,23.0,England,Manchester United,[England] Premier Le,RM,86.0,70kg / 154lbs,Right,83.0,RM,4.0,"Jul 1, 2014",,€43.5M,€130K,€83.7M,373.0,75.0,81.0,68.0,76.0,73.0,393.0,83.0,83.0,76.0,70.0,81.0,416.0,85.0,91.0,85.0,80.0,75.0,397.0,92.0,74.0,80.0,73.0,78.0,347.0,69.0,39.0,78.0,76.0,85.0,75.0,111.0,40.0,38.0,33.0,53.0,11.0,6.0,7.0,14.0,2090.0,442.0,3.0,5.0,Medium,Low,3.0,88.0,82.0,75.0,82.0,41.0,74.0,2021-2022
11,2021-2022,Manchester United,Fred,2034,32,28,4,0.0019665683382497,209297.0,/player/209297/frederico-de-paula-santos/220069/,Fred,Frederico de Paula Santos,28.0,Brazil,Manchester United,[England] Premier Le,CM,80.0,62kg / 137lbs,Left,80.0,CM,0.0,"Jun 21, 2018",,€21M,€120K,€38.9M,336.0,74.0,61.0,56.0,83.0,62.0,391.0,80.0,77.0,74.0,80.0,80.0,418.0,81.0,76.0,88.0,86.0,87.0,373.0,78.0,82.0,93.0,52.0,68.0,381.0,85.0,83.0,73.0,76.0,64.0,75.0,223.0,72.0,81.0,70.0,64.0,7.0,16.0,11.0,15.0,2186.0,450.0,3.0,4.0,High,High,3.0,78.0,67.0,79.0,81.0,75.0,70.0,2021-2022
12,2021-2022,Manchester United,Edinson Cavani,735,10,9,1,0.001360544217687,179813.0,/player/179813/edinson-cavani/220069/,E. Cavani,Edinson Cavani,34.0,Uruguay,Manchester United,[England] Premier Le,ST,82.0,77kg / 170lbs,Right,82.0,ST,0.0,"Oct 5, 2020",,€15M,€145K,€27.8M,395.0,66.0,85.0,85.0,73.0,86.0,350.0,71.0,76.0,74.0,52.0,77.0,331.0,60.0,65.0,64.0,85.0,57.0,392.0,86.0,87.0,70.0,75.0,74.0,385.0,81.0,54.0,92.0,74.0,84.0,82.0,132.0,45.0,48.0,39.0,53.0,12.0,5.0,13.0,10.0,2038.0,415.0,4.0,3.0,High,High,4.0,63.0,83.0,69.0,73.0,51.0,76.0,2021-2022
13,2020-2021,Manchester United,David de Gea,2296,44,30,14,0.0060975609756097,193080.0,/player/193080/david-de-gea-quintana/210064/,De Gea,David de Gea,29.0,Spain,Manchester United,[England] Premier Le,GK,86.0,82kg / 181lbs,Right,86.0,GK,0.0,"Jul 1, 2011",,€46.5M,€150K,€88.4M,112.0,17.0,13.0,21.0,48.0,13.0,139.0,18.0,21.0,19.0,43.0,38.0,305.0,57.0,58.0,63.0,84.0,43.0,234.0,57.0,67.0,43.0,55.0,12.0,170.0,38.0,30.0,12.0,61.0,29.0,65.0,59.0,25.0,21.0,13.0,413.0,88.0,80.0,80.0,89.0,1432.0,471.0,3.0,1.0,Medium,Medium,4.0,88.0,80.0,76.0,89.0,58.0,80.0,2020-2021
14,2020-2021,Manchester United,Victor Lindelöf,2586,58,29,29,0.011214230471771,221660.0,/player/221660/victor-lindelof/210064/,V. Lindelöf,Victor Lindelöf,25.0,Sweden,Manchester United,[England] Premier Le,CB,84.0,80kg / 176lbs,Right,82.0,CB,4.0,"Jul 1, 2017",,€26.5M,€100K,€52.3M,298.0,62.0,42.0,77.0,79.0,38.0,349.0,71.0,64.0,59.0,78.0,77.0,340.0,63.0,67.0,65.0,83.0,62.0,352.0,70.0,77.0,77.0,76.0,52.0,340.0,81.0,82.0,51.0,72.0,54.0,83.0,241.0,82.0,81.0,78.0,52.0,12.0,16.0,7.0,9.0,1972.0,417.0,4.0,3.0,Medium,High,2.0,65.0,50.0,72.0,72.0,81.0,77.0,2020-2021
15,2020-2021,Manchester United,Paul Pogba,1888,34,25,9,0.0047669491525423,195864.0,/player/195864/paul-pogba/210064/,P. Pogba,Paul Pogba,27.0,France,Manchester United,[England] Premier Le,CM,86.0,84kg / 185lbs,Right,86.0,CM,0.0,"Aug 9, 2016",,€72M,€190K,€136.8M,396.0,77.0,75.0,74.0,86.0,84.0,437.0,88.0,85.0,82.0,92.0,90.0,367.0,66.0,79.0,73.0,81.0,68.0,419.0,90.0,82.0,75.0,89.0,83.0,396.0,78.0,65.0,82.0,88.0,83.0,88.0,189.0,59.0,67.0,63.0,20.0,5.0,6.0,4.0,3.0,2224.0,473.0,4.0,5.0,High,Medium,4.0,73.0,81.0,85.0,86.0,65.0,83.0,2020-2021
16,2020-2021,Manchester United,Edinson Cavani,1355,26,17,9,0.0066420664206642,179813.0,/player/179813/edinson-cavani/210064/,E. Cavani,Edinson Cavani,33.0,Uruguay,Manchester United,[England] Premier Le,ST,84.0,77kg / 170lbs,Right,84.0,ST,0.0,"Oct 5, 2020",,€27M,€175K,€51.3M,404.0,68.0,87.0,87.0,76.0,86.0,360.0,75.0,77.0,75.0,52.0,81.0,353.0,66.0,72.0,68.0,90.0,57.0,411.0,87.0,88.0,84.0,77.0,75.0,390.0,83.0,54.0,92.0,76.0,85.0,85.0,144.0,57.0,48.0,39.0,53.0,12.0,5.0,13.0,10.0,2115.0,437.0,4.0,3.0,High,High,4.0,69.0,85.0,71.0,76.0,55.0,81.0,2020-2021
17,2020-2021,Manchester United,Mason Greenwood,1798,36,25,11,0.0061179087875417,246147.0,/player/246147/mason-greenwood/210064/,M. Greenwood,Mason Greenwood,18.0,England,Manchester United,[England] Premier Le,CAM,89.0,70kg / 154lbs,Left,79.0,CAM,11.0,"Oct 2, 2018",,€29.5M,€35K,€62M,355.0,72.0,77.0,64.0,74.0,68.0,369.0,81.0,75.0,65.0,70.0,78.0,398.0,80.0,84.0,81.0,77.0,76.0,369.0,83.0,67.0,72.0,69.0,78.0,305.0,58.0,34.0,76.0,73.0,64.0,75.0,107.0,35.0,39.0,33.0,34.0,5.0,6.0,9.0,8.0,1937.0,417.0,5.0,3.0,High,Medium,1.0,82.0,77.0,72.0,80.0,39.0,67.0,2020-2021
18,2020-2021,Manchester United,Fred,2396,47,23,24,0.010016694490818,209297.0,/player/209297/frederico-de-paula-santos/210064/,Fred,Frederico de Paula Santos,27.0,Brazil,Manchester United,[England] Premier Le,CDM,82.0,62kg / 137lbs,Left,81.0,CDM,1.0,"Jun 21, 2018",,€26.5M,€115K,€52.3M,334.0,72.0,62.0,52.0,83.0,65.0,393.0,81.0,77.0,74.0,81.0,80.0,420.0,79.0,79.0,88.0,87.0,87.0,373.0,78.0,80.0,93.0,54.0,68.0,381.0,87.0,82.0,70.0,76.0,66.0,79.0,226.0,76.0,79.0,71.0,64.0,7.0,16.0,11.0,15.0,2191.0,453.0,4.0,4.0,High,High,1.0,79.0,67.0,78.0,82.0,75.0,72.0,2020-2021
19,2020-2021,Manchester United,Bruno Fernandes,3109,66,34,32,0.0102926986169186,212198.0,/player/212198/bruno-miguel-borges-fernandes/210064/,Bruno Fernandes,Bruno Miguel Borges Fernandes,25.0,Portugal,Manchester United,[England] Premier Le,CAM,91.0,69kg / 152lbs,Right,89.0,CAM,3.0,"Jan 30, 2020",,€121M,€240K,€239M,412.0,87.0,83.0,64.0,91.0,87.0,433.0,83.0,87.0,87.0,88.0,88.0,402.0,78.0,75.0,79.0,91.0,79.0,414.0,89.0,73.0,93.0,70.0,89.0,413.0,78.0,66.0,87.0,91.0,91.0,87.0,210.0,72.0,73.0,65.0,63.0,12.0,14.0,8.0,14.0,2347.0,483.0,3.0,4.0,High,High,2.0,76.0,86.0,89.0,84.0,70.0,78.0,2020-2021
