Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2013-2014,Aston Villa,Brad Guzan,3420,38,57,-19,-0.005555555555555556
2013-2014,Aston Villa,Ryan Bertrand,1455,18,29,-11,-0.007560137457044674
2013-2014,Aston Villa,Fabian Delph,3003,35,50,-15,-0.004995004995004995
2013-2014,Aston Villa,Ciaran Clark,2202,30,35,-5,-0.002270663033605813
2013-2014,Aston Villa,Ron Vlaar,2805,34,43,-9,-0.0032085561497326204
2013-2014,Aston Villa,Ashley Westwood,3081,34,52,-18,-0.005842259006815969
2013-2014,Aston Villa,Andreas Weimann,2645,33,42,-9,-0.003402646502835539
2013-2014,Aston Villa,Matthew Lowton,1654,21,32,-11,-0.006650544135429262
2013-2014,Aston Villa,Nathan Baker,2479,24,43,-19,-0.007664380798709157
2013-2014,Aston Villa,Marc Albrighton,931,8,17,-9,-0.00966702470461869
2013-2014,Aston Villa,Gabby Agbonlahor,2445,23,39,-16,-0.006543967280163599
2013-2014,Aston Villa,Leandro Bacuna,2571,29,45,-16,-0.006223259432127577
2013-2014,Aston Villa,Yacouba Sylla,547,5,10,-5,-0.009140767824497258
2013-2014,Aston Villa,Karim El Ahmadi,2188,26,37,-11,-0.005027422303473492
2013-2014,Newcastle United,Tim Krul,3240,41,49,-8,-0.0024691358024691358
2013-2014,Newcastle United,Shola Ameobi,1211,17,10,7,0.005780346820809248
2013-2014,Newcastle United,Cheick Tioté,2759,28,45,-17,-0.0061616527727437476
2013-2014,Newcastle United,Yoan Gouffran,2663,32,45,-13,-0.00488171235448742
2013-2014,Newcastle United,Mike Williamson,2912,36,45,-9,-0.0030906593406593405
2013-2014,Newcastle United,Fabricio Coloccini,2405,28,39,-11,-0.004573804573804574
2013-2014,Newcastle United,Loïc Rémy,2111,36,26,10,0.0047370914258645196
2013-2014,Newcastle United,Paul Dummett,1134,11,24,-13,-0.01146384479717813
2013-2014,Newcastle United,Vurnon Anita,2456,22,44,-22,-0.008957654723127036
2013-2014,Newcastle United,Moussa Sissoko,3034,37,47,-10,-0.0032959789057350032
2013-2014,Newcastle United,Mathieu Debuchy,2522,35,40,-5,-0.0019825535289452814
2013-2014,Newcastle United,Mapou Yanga-Mbiwa,1534,20,23,-3,-0.001955671447196871
2013-2014,Newcastle United,Steven Taylor,729,5,17,-12,-0.01646090534979424
2013-2014,Newcastle United,Luuk de Jong,672,5,16,-11,-0.01636904761904762
2013-2014,Everton,Tim Howard,3330,56,34,22,0.006606606606606606
2013-2014,Everton,Antolín Alcaraz,495,5,9,-4,-0.00808080808080808
2013-2014,Everton,Leighton Baines,2839,44,31,13,0.004579077139837971
2013-2014,Everton,Leon Osman,2147,37,21,16,0.007452258965999069
2013-2014,Everton,James McCarthy,2855,49,29,20,0.0070052539404553416
2013-2014,Everton,Romelu Lukaku,2601,53,25,28,0.010765090349865437
2013-2014,Everton,Steven Naismith,1365,21,17,4,0.0029304029304029304
2013-2014,Everton,Ross Barkley,2273,38,29,9,0.003959524857017158
2013-2014,Everton,Phil Jagielka,2316,38,26,12,0.0051813471502590676
2013-2014,Everton,Séamus Coleman,3229,56,30,26,0.008052028491793125
2013-2014,Everton,John Stones,1357,23,16,7,0.005158437730287398
2013-2014,Everton,Sylvain Distin,2925,53,27,26,0.008888888888888889
2013-2014,Everton,Gerard Deulofeu,882,13,5,8,0.009070294784580499
2013-2014,Stoke City,Asmir Begović,2880,38,36,2,0.0006944444444444445
2013-2014,Stoke City,Marko Arnautović,2254,34,25,9,0.003992901508429458
2013-2014,Stoke City,Geoff Cameron,3285,44,49,-5,-0.0015220700152207
2013-2014,Stoke City,Erik Pieters,2902,35,45,-10,-0.0034458993797381117
2013-2014,Stoke City,Oussama Assaidi,1104,9,15,-6,-0.005434782608695652
2013-2014,Stoke City,Marc Muniesa,818,15,13,2,0.0024449877750611247
2013-2014,Stoke City,Peter Odemwingie,2091,24,32,-8,-0.003825920612147298
2013-2014,Stoke City,Stephen Ireland,1370,18,13,5,0.0036496350364963502
2013-2014,Stoke City,Marc Wilson,2728,35,38,-3,-0.0010997067448680353
2013-2014,Stoke City,Steven Nzonzi,3079,38,44,-6,-0.001948684637869438
2013-2014,Stoke City,Glenn Whelan,2395,35,39,-4,-0.0016701461377870565
2013-2014,Stoke City,Peter Crouch,2636,38,42,-4,-0.0015174506828528073
2013-2014,Stoke City,Charlie Adam,1750,20,32,-12,-0.006857142857142857
2013-2014,Stoke City,Wilson Palacios,478,8,10,-2,-0.0041841004184100415
2013-2014,Stoke City,Jonathan Walters,2245,29,41,-12,-0.005345211581291759
2013-2014,Swansea City,Michel Vorm,2340,35,32,3,0.001282051282051282
2013-2014,Swansea City,Dwight Tiendalli,748,8,12,-4,-0.0053475935828877
2013-2014,Swansea City,Jordi Amat,1245,16,20,-4,-0.00321285140562249
2013-2014,Swansea City,Pablo Hernández,1421,19,18,1,0.0007037297677691766
2013-2014,Swansea City,Leon Britton,2021,31,31,0,0.0
2013-2014,Swansea City,Ashley Williams,3040,41,47,-6,-0.001973684210526316
2013-2014,Swansea City,Ben Davies,2873,39,46,-7,-0.0024364775495997215
2013-2014,Swansea City,Jonjo Shelvey,2476,33,41,-8,-0.0032310177705977385
2013-2014,Swansea City,Wayne Routledge,2694,37,43,-6,-0.0022271714922048997
2013-2014,Swansea City,Jonathan de Guzmán,2352,31,31,0,0.0
2013-2014,Swansea City,Wilfried Bony,2468,39,40,-1,-0.0004051863857374392
2013-2014,Swansea City,Gerhard Tremmel,1080,13,21,-8,-0.007407407407407408
2013-2014,Swansea City,Nathan Dyer,1729,28,30,-2,-0.001156737998843262
2013-2014,Swansea City,Neil Taylor,587,10,9,1,0.0017035775127768314
2013-2014,West Ham United,Adrián,1800,20,27,-7,-0.0038888888888888888
2013-2014,West Ham United,Mark Noble,3352,36,48,-12,-0.003579952267303103
2013-2014,West Ham United,George McCartney,1840,24,26,-2,-0.0010869565217391304
2013-2014,West Ham United,James Tomkins,2602,28,36,-8,-0.0030745580322828594
2013-2014,West Ham United,Mohamed Diamé,2483,27,44,-17,-0.00684655658477648
2013-2014,West Ham United,Stewart Downing,2509,27,30,-3,-0.0011956954962136308
2013-2014,West Ham United,Guy Demel,2637,30,37,-7,-0.0026545316647705727
2013-2014,West Ham United,Winston Reid,1664,14,21,-7,-0.004206730769230769
2013-2014,West Ham United,Kevin Nolan,2748,30,36,-6,-0.002183406113537118
2013-2014,West Ham United,Matthew Taylor,1397,15,18,-3,-0.0021474588403722263
2013-2014,West Ham United,Andy Carroll,1125,10,18,-8,-0.0071111111111111115
2013-2014,West Ham United,Jussi Jääskeläinen,1620,16,23,-7,-0.004320987654320987
2013-2014,West Ham United,Matt Jarvis,1945,16,24,-8,-0.004113110539845758
2013-2014,West Ham United,Carlton Cole,836,8,13,-5,-0.005980861244019139
2013-2014,West Ham United,James Collins,1880,17,24,-7,-0.003723404255319149
2013-2014,Chelsea,André Schürrle,1284,24,9,15,0.011682242990654205
2013-2014,Chelsea,Nemanja Matić,1360,28,6,22,0.016176470588235296
2013-2014,Chelsea,Mohamed Salah,495,9,2,7,0.014141414141414142
2013-2014,Chelsea,Ashley Cole,1386,20,8,12,0.008658008658008658
2013-2014,Chelsea,Demba Ba,636,10,7,3,0.0047169811320754715
2013-2014,Chelsea,Branislav Ivanović,3180,63,26,37,0.011635220125786163
2013-2014,Chelsea,Gary Cahill,2623,55,18,37,0.014105985512771636
2013-2014,Chelsea,John Terry,3060,61,24,37,0.012091503267973857
2013-2014,Chelsea,Frank Lampard,1703,33,12,21,0.012331180270111567
