Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2017-2018,Arsenal,Petr Čech,3040,63,48,15,0.004934210526315789
2017-2018,Arsenal,Alexandre Lacazette,2204,50,28,22,0.009981851179673321
2017-2018,Arsenal,Mesut Özil,2157,48,36,12,0.005563282336578581
2017-2018,Arsenal,Alex Oxlade-Chamberlain,1697,44,27,17,0.010017678255745434
2017-2018,Arsenal,Rob Holding,815,14,16,-2,-0.00245398773006135
2017-2018,Arsenal,Nacho Monreal,2244,48,29,19,0.008467023172905526
2017-2018,Arsenal,Danny Welbeck,1171,18,20,-2,-0.0017079419299743809
2017-2018,Arsenal,Héctor Bellerín,3044,66,44,22,0.007227332457293035
2017-2018,Arsenal,Granit Xhaka,3266,71,50,21,0.006429883649724434
2017-2018,Arsenal,Sead Kolašinac,2143,49,30,19,0.008866075594960336
2017-2018,Arsenal,Mohamed Elneny,853,18,12,6,0.007033997655334115
2017-2018,Arsenal,Aaron Ramsey,1848,42,25,17,0.0091991341991342
2017-2018,Arsenal,Olivier Giroud,958,17,11,6,0.006263048016701462
2017-2018,Arsenal,Theo Walcott,1213,16,17,-1,-0.0008244023083264633
2017-2018,Arsenal,Alex Iwobi,1837,36,26,10,0.005443658138268917
2017-2018,Arsenal,Shkodran Mustafi,2273,50,30,20,0.008798944126704795
2017-2018,Watford,Heurelho Gomes,2129,30,39,-9,-0.004227336777829967
2017-2018,Watford,Daryl Janmaat,1813,20,35,-15,-0.00827357970215113
2017-2018,Watford,Miguel Britos,853,14,16,-2,-0.0023446658851113715
2017-2018,Watford,Tom Cleverley,1908,28,33,-5,-0.002620545073375262
2017-2018,Watford,Abdoulaye Doucouré,3325,42,62,-20,-0.006015037593984963
2017-2018,Watford,José Holebas,2378,30,47,-17,-0.007148864592094197
2017-2018,Watford,Roberto Pereyra,1609,23,32,-9,-0.005593536357986327
2017-2018,Watford,Sebastian Prödl,1565,15,29,-14,-0.008945686900958467
2017-2018,Watford,Richarlison,2803,29,52,-23,-0.008205494113449875
2017-2018,Watford,Andre Gray,1466,18,25,-7,-0.0047748976807639835
2017-2018,Watford,Kiko Femenía,1709,26,32,-6,-0.003510825043885313
2017-2018,Watford,Étienne Capoue,1523,13,28,-15,-0.00984898227183191
2017-2018,Crystal Palace,Wayne Hennessey,2430,29,39,-10,-0.00411522633744856
2017-2018,Crystal Palace,Joel Ward,1616,15,24,-9,-0.005569306930693069
2017-2018,Crystal Palace,Patrick van Aanholt,2180,30,36,-6,-0.0027522935779816515
2017-2018,Crystal Palace,Luka Milivojević,3082,41,50,-9,-0.0029201817001946787
2017-2018,Crystal Palace,Scott Dann,1435,15,25,-10,-0.006968641114982578
2017-2018,Crystal Palace,Ruben Loftus-Cheek,1874,28,29,-1,-0.0005336179295624333
2017-2018,Crystal Palace,Wilfried Zaha,2550,41,30,11,0.004313725490196078
2017-2018,Crystal Palace,Christian Benteke,2223,26,34,-8,-0.003598740440845704
2017-2018,Crystal Palace,Timothy Fosu-Mensah,1577,11,29,-18,-0.011414077362079899
2017-2018,Crystal Palace,Jason Puncheon,565,0,13,-13,-0.023008849557522124
2017-2018,Crystal Palace,Julián Speroni,990,15,14,1,0.00101010101010101
2017-2018,Crystal Palace,James Tomkins,2388,40,31,9,0.0037688442211055275
2017-2018,Crystal Palace,Andros Townsend,3128,38,47,-9,-0.002877237851662404
2017-2018,Crystal Palace,Jeffrey Schlupp,1733,19,29,-10,-0.005770340450086555
2017-2018,West Bromwich Albion,Ben Foster,3330,30,53,-23,-0.006906906906906907
2017-2018,West Bromwich Albion,Allan Nyom,2294,23,38,-15,-0.006538796861377506
2017-2018,West Bromwich Albion,Claudio Yacob,889,5,16,-11,-0.012373453318335208
2017-2018,West Bromwich Albion,Jake Livermore,2675,22,39,-17,-0.006355140186915888
2017-2018,West Bromwich Albion,Matt Phillips,2096,24,31,-7,-0.0033396946564885495
2017-2018,West Bromwich Albion,Chris Brunt,1915,22,23,-1,-0.0005221932114882506
2017-2018,West Bromwich Albion,James McClean,1354,7,19,-12,-0.008862629246676515
2017-2018,West Bromwich Albion,Jay Rodriguez,2824,24,40,-16,-0.0056657223796034
2017-2018,West Bromwich Albion,Craig Dawson,2511,24,38,-14,-0.005575467941059339
2017-2018,West Bromwich Albion,Ahmed Hegazi,3387,30,53,-23,-0.006790670209625037
2017-2018,West Bromwich Albion,Sam Field,529,5,5,0,0.0
2017-2018,West Bromwich Albion,Hal Robson-Kanu,816,5,11,-6,-0.007352941176470588
2017-2018,West Bromwich Albion,Salomón Rondón,2766,25,47,-22,-0.007953723788864787
2017-2018,Chelsea,Thibaut Courtois,3150,54,32,22,0.006984126984126984
2017-2018,Chelsea,Antonio Rüdiger,2336,45,21,24,0.010273972602739725
2017-2018,Chelsea,Marcos Alonso,2860,47,28,19,0.006643356643356644
2017-2018,Chelsea,Cesc Fàbregas,2309,40,25,15,0.0064963187527068
2017-2018,Chelsea,N'Golo Kanté,2998,52,31,21,0.007004669779853236
2017-2018,Chelsea,Willian,1837,32,17,15,0.008165487207403375
2017-2018,Chelsea,Gary Cahill,2150,35,26,9,0.004186046511627907
2017-2018,Chelsea,César Azpilicueta,3330,59,36,23,0.006906906906906907
2017-2018,Chelsea,David Luiz,842,17,11,6,0.007125890736342043
2017-2018,Chelsea,Álvaro Morata,2061,37,19,18,0.008733624454148471
2017-2018,Chelsea,Kenedy,1030,13,9,4,0.003883495145631068
2017-2018,Chelsea,Andreas Christensen,2069,36,22,14,0.006766553890768487
2017-2018,Everton,Jordan Pickford,3420,42,58,-16,-0.004678362573099415
2017-2018,Everton,Morgan Schneiderlin,2108,21,37,-16,-0.007590132827324478
2017-2018,Everton,Leighton Baines,1911,20,34,-14,-0.007326007326007326
2017-2018,Everton,Michael Keane,2551,27,46,-19,-0.007448059584476676
2017-2018,Everton,Ashley Williams,1835,23,31,-8,-0.004359673024523161
2017-2018,Everton,Phil Jagielka,2053,22,39,-17,-0.008280565026790063
2017-2018,Everton,Wayne Rooney,2284,28,33,-5,-0.0021891418563922942
2017-2018,Everton,Idrissa Gana Gueye,2779,38,45,-7,-0.0025188916876574307
2017-2018,Everton,Dominic Calvert-Lewin,1848,26,28,-2,-0.0010822510822510823
2017-2018,Everton,Cuco Martina,1830,20,30,-10,-0.00546448087431694
2017-2018,Everton,Tom Davies,1899,26,24,2,0.00105318588730911
2017-2018,Everton,Mason Holgate,1182,16,14,2,0.001692047377326565
2017-2018,Southampton,Fraser Forster,1800,20,30,-10,-0.005555555555555556
2017-2018,Southampton,Cédric Soares,2797,30,44,-14,-0.0050053628888094386
2017-2018,Southampton,Maya Yoshida,2052,21,32,-11,-0.005360623781676413
2017-2018,Southampton,Jack Stephens,1980,18,33,-15,-0.007575757575757576
2017-2018,Southampton,Steven Davis,1499,16,21,-5,-0.00333555703802535
