Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2021-2022,Brentford,David Raya,2160,32,27,5,0.0023148148148148147
2021-2022,Brentford,Rico Henry,2784,38,40,-2,-0.0007183908045977011
2021-2022,Brentford,Ethan Pinnock,2698,34,41,-7,-0.0025945144551519643
2021-2022,Brentford,Christian Nørgaard,3059,42,49,-7,-0.002288329519450801
2021-2022,Brentford,Sergi Canós,2102,24,34,-10,-0.004757373929590866
2021-2022,Brentford,Frank Onyeka,1048,10,18,-8,-0.007633587786259542
2021-2022,Brentford,Ivan Toney,2908,41,45,-4,-0.001375515818431912
2021-2022,Brentford,Pontus Jansson,3322,44,54,-10,-0.0030102347983142685
2021-2022,Brentford,Bryan Mbeumo,2916,40,45,-5,-0.0017146776406035665
2021-2022,Brentford,Kristoffer Ajer,2000,28,31,-3,-0.0015
2021-2022,Brentford,Vitaly Janelt,2298,33,36,-3,-0.0013054830287206266
2021-2022,Brentford,Yoane Wissa,1249,17,21,-4,-0.0032025620496397116
2021-2022,Brentford,Saman Ghoddos,498,9,4,5,0.010040160642570281
2021-2022,Brentford,Mads Bech Sørensen,835,8,14,-6,-0.00718562874251497
2021-2022,Brentford,Mads Roerslev,1226,16,26,-10,-0.008156606851549755
2021-2022,Manchester United,David de Gea,3420,56,54,2,0.0005847953216374269
2021-2022,Manchester United,Victor Lindelöf,2347,38,45,-7,-0.002982530890498509
2021-2022,Manchester United,Harry Maguire,2536,45,40,5,0.001971608832807571
2021-2022,Manchester United,Paul Pogba,1373,26,19,7,0.005098324836125273
2021-2022,Manchester United,Mason Greenwood,1281,21,16,5,0.0039032006245121
2021-2022,Manchester United,Fred,2034,32,28,4,0.0019665683382497543
2021-2022,Manchester United,Bruno Fernandes,3119,49,52,-3,-0.0009618467457518436
2021-2022,Manchester United,Daniel James,2568,36,51,-15,-0.005841121495327103
2021-2022,Manchester United,Luke Shaw,1604,30,22,8,0.004987531172069825
2021-2022,Manchester United,Aaron Wan-Bissaka,1794,28,33,-5,-0.002787068004459309
2021-2022,Manchester United,Scott McTominay,2383,38,34,4,0.001678556441460344
2021-2022,Manchester United,Diogo Dalot,1783,28,26,2,0.0011217049915872126
2021-2022,Manchester United,Jadon Sancho,1900,28,29,-1,-0.0005263157894736842
