Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2018-2019,Manchester United,David de Gea,3420,65,51,14,0.004093567251461989
2018-2019,Manchester United,Victor Lindelöf,2602,46,38,8,0.0030745580322828594
2018-2019,Manchester United,Eric Bailly,643,14,12,2,0.003110419906687403
2018-2019,Manchester United,Paul Pogba,3011,56,41,15,0.004981733643307871
2018-2019,Manchester United,Alexis Sánchez,865,19,9,10,0.011560693641618497
2018-2019,Manchester United,Juan Mata,1289,28,15,13,0.01008533747090768
2018-2019,Manchester United,Marcus Rashford,2362,45,34,11,0.0046570702794242165
2018-2019,Manchester United,Andreas Pereira,580,7,12,-5,-0.008620689655172414
2018-2019,Manchester United,Fred,1037,17,19,-2,-0.0019286403085824494
2018-2019,Manchester United,Luke Shaw,2592,52,37,15,0.005787037037037037
2018-2019,Manchester United,Romelu Lukaku,2123,38,36,2,0.0009420631182289214
2018-2019,Manchester United,Anthony Martial,1616,31,23,8,0.0049504950495049506
2018-2019,Manchester United,Chris Smalling,2128,35,33,2,0.0009398496240601503
2018-2019,Manchester United,Ashley Young,2601,50,42,8,0.0030757400999615533
2018-2019,Manchester United,Marouane Fellaini,735,13,12,1,0.0013605442176870747
2018-2019,Manchester United,Scott McTominay,840,12,16,-4,-0.004761904761904762
2018-2019,Newcastle United,Martin Dúbravka,3420,41,47,-6,-0.0017543859649122807
2018-2019,Newcastle United,Ciaran Clark,857,8,14,-6,-0.007001166861143524
2018-2019,Newcastle United,Paul Dummett,1975,23,26,-3,-0.0015189873417721519
2018-2019,Newcastle United,Jamaal Lascelles,2748,29,36,-7,-0.002547307132459971
2018-2019,Newcastle United,Jonjo Shelvey,937,10,13,-3,-0.0032017075773745998
2018-2019,Newcastle United,Mohamed Diamé,2148,20,30,-10,-0.004655493482309125
2018-2019,Newcastle United,Matt Ritchie,2932,34,39,-5,-0.0017053206002728514
2018-2019,Newcastle United,Kenedy,1323,12,16,-4,-0.0030234315948601664
2018-2019,Newcastle United,Ayoze Pérez,2929,39,35,4,0.0013656538067599864
2018-2019,Newcastle United,Joselu,571,3,12,-9,-0.01576182136602452
2018-2019,Newcastle United,DeAndre Yedlin,2502,27,40,-13,-0.005195843325339729
2018-2019,Newcastle United,Ki Sung-yueng,1302,16,19,-3,-0.002304147465437788
2018-2019,Newcastle United,Fabian Schär,2002,29,23,6,0.002997002997002997
2018-2019,Newcastle United,Salomón Rondón,2609,36,31,5,0.0019164430816404753
2018-2019,Newcastle United,Yoshinori Mutō,472,5,9,-4,-0.00847457627118644
2018-2019,Newcastle United,Javier Manquillo,1074,13,15,-2,-0.00186219739292365
2018-2019,Newcastle United,Christian Atsu,1458,19,18,1,0.0006858710562414266
2018-2019,Fulham,Ryan Sessegnon,2288,23,58,-35,-0.015297202797202798
2018-2019,Fulham,Calum Chambers,2584,25,51,-26,-0.010061919504643963
2018-2019,Fulham,Kevin McDonald,846,10,26,-16,-0.018912529550827423
2018-2019,Fulham,Aleksandar Mitrović,3282,32,76,-44,-0.01340645947592931
2018-2019,Fulham,Tom Cairney,2198,22,50,-28,-0.012738853503184714
2018-2019,Fulham,André Schürrle,1641,15,41,-26,-0.015843997562461912
2018-2019,Fulham,Maxime Le Marchand,2251,26,51,-25,-0.011106175033318524
2018-2019,Fulham,Cyrus Christie,1938,16,41,-25,-0.012899896800825593
2018-2019,Fulham,Joe Bryan,2350,21,53,-32,-0.013617021276595745
2018-2019,Fulham,Jean Seri,2245,25,52,-27,-0.012026726057906459
2018-2019,Fulham,Sergio Rico,2610,22,54,-32,-0.012260536398467433
2018-2019,Fulham,Luciano Vietto,957,14,18,-4,-0.0041797283176593526
2018-2019,Fulham,Timothy Fosu-Mensah,787,10,17,-7,-0.008894536213468869
2018-2019,Fulham,Aboubakar Kamara,687,5,17,-12,-0.017467248908296942
2018-2019,Bournemouth,Asmir Begović,2160,31,45,-14,-0.006481481481481481
2018-2019,Bournemouth,Steve Cook,2787,48,53,-5,-0.001794043774668102
2018-2019,Bournemouth,Dan Gosling,1722,30,32,-2,-0.0011614401858304297
2018-2019,Bournemouth,Nathan Aké,3412,55,67,-12,-0.0035169988276670576
2018-2019,Bournemouth,Andrew Surman,1438,16,35,-19,-0.01321279554937413
2018-2019,Bournemouth,Charlie Daniels,1583,24,32,-8,-0.00505369551484523
2018-2019,Bournemouth,Callum Wilson,2535,47,45,2,0.0007889546351084812
2018-2019,Bournemouth,Adam Smith,2102,38,32,6,0.0028544243577545195
2018-2019,Bournemouth,Joshua King,2974,47,54,-7,-0.0023537323470073975
2018-2019,Bournemouth,David Brooks,2279,40,40,0,0.0
2018-2019,Bournemouth,Ryan Fraser,3173,52,61,-9,-0.0028364323983611725
2018-2019,Bournemouth,Artur Boruc,1080,20,18,2,0.001851851851851852
2018-2019,Bournemouth,Simon Francis,1226,19,22,-3,-0.0024469820554649264
2018-2019,Bournemouth,Jordon Ibe,761,11,20,-9,-0.011826544021024968
2018-2019,Bournemouth,Lewis Cook,719,15,10,5,0.006954102920723227
2018-2019,Watford,Ben Foster,3420,51,56,-5,-0.0014619883040935672
2018-2019,Watford,Daryl Janmaat,1521,26,21,5,0.003287310979618672
2018-2019,Watford,Troy Deeney,2627,41,41,0,0.0
2018-2019,Watford,Craig Cathcart,3091,48,51,-3,-0.0009705596894208993
2018-2019,Watford,Abdoulaye Doucouré,3062,50,53,-3,-0.0009797517962116264
2018-2019,Watford,Andre Gray,1340,22,22,0,0.0
2018-2019,Watford,Will Hughes,2436,33,38,-5,-0.002052545155993432
2018-2019,Watford,José Holebas,2436,36,38,-2,-0.0008210180623973727
2018-2019,Watford,Christian Kabasele,1640,22,28,-6,-0.003658536585365854
2018-2019,Watford,Étienne Capoue,2947,44,45,-1,-0.00033932813030200206
2018-2019,Watford,Roberto Pereyra,2825,41,50,-9,-0.003185840707964602
2018-2019,Watford,Adrian Mariappa,1921,29,30,-1,-0.0005205622071837585
2018-2019,Watford,Isaac Success,988,12,20,-8,-0.008097165991902834
2018-2019,Watford,Adam Masina,997,15,20,-5,-0.0050150451354062184
2018-2019,Watford,Ken Sema,736,12,8,4,0.005434782608695652
2018-2019,Watford,Kiko Femenía,2029,30,39,-9,-0.004435682602267127
2018-2019,Huddersfield Town,Ben Hamer,553,2,20,-18,-0.0325497287522604
2018-2019,Huddersfield Town,Terence Kongolo,2722,19,64,-45,-0.01653196179279941
2018-2019,Huddersfield Town,Jonathan Hogg,2404,11,44,-33,-0.01372712146422629
2018-2019,Huddersfield Town,Philip Billing,2192,14,42,-28,-0.012773722627737226
2018-2019,Huddersfield Town,Aaron Mooy,2319,16,46,-30,-0.0129366106080207
2018-2019,Huddersfield Town,Chris Löwe,2039,11,54,-43,-0.021088769004413928
2018-2019,Huddersfield Town,Alex Pritchard,2077,16,38,-22,-0.01059220028887819
2018-2019,Huddersfield Town,Steve Mounié,1826,11,38,-27,-0.014786418400876232
2018-2019,Huddersfield Town,Mathias Jørgensen,2148,9,38,-29,-0.013500931098696461
2018-2019,Huddersfield Town,Christopher Schindler,3311,17,71,-54,-0.01630927212322561
2018-2019,Huddersfield Town,Florent Hadergjonaj,1836,10,35,-25,-0.013616557734204794
2018-2019,Huddersfield Town,Jonas Lössl,2777,17,54,-37,-0.013323730644580483
2018-2019,Huddersfield Town,Tommy Smith,1211,10,36,-26,-0.021469859620148638
2018-2019,Huddersfield Town,Adama Diakhaby,551,1,15,-14,-0.025408348457350273
2018-2019,Huddersfield Town,Laurent Depoitre,1035,2,22,-20,-0.01932367149758454
2018-2019,Huddersfield Town,Jon Gorenc Stanković,718,5,19,-14,-0.019498607242339833
2018-2019,Wolverhampton Wanderers,Rui Patrício,3330,44,42,2,0.0006006006006006006
2018-2019,Wolverhampton Wanderers,Matt Doherty,3147,40,39,1,0.00031776294884016526
2018-2019,Wolverhampton Wanderers,Ryan Bennett,3060,43,35,8,0.00261437908496732
2018-2019,Wolverhampton Wanderers,Rúben Neves,3009,40,39,1,0.00033233632436025255
2018-2019,Wolverhampton Wanderers,Raúl Jiménez,3125,43,38,5,0.0016
2018-2019,Wolverhampton Wanderers,Hélder Costa,1343,16,18,-2,-0.0014892032762472078
2018-2019,Wolverhampton Wanderers,Willy Boly,3240,39,40,-1,-0.00030864197530864197
2018-2019,Wolverhampton Wanderers,Conor Coady,3420,46,42,4,0.0011695906432748538
2018-2019,Wolverhampton Wanderers,Diogo Jota,2371,32,26,6,0.0025305778152678194
2018-2019,Wolverhampton Wanderers,Jonny Castro,2780,36,35,1,0.00035971223021582735
2018-2019,Wolverhampton Wanderers,João Moutinho,3040,40,36,4,0.0013157894736842105
2018-2019,Wolverhampton Wanderers,Morgan Gibbs-White,603,8,8,0,0.0
2018-2019,Wolverhampton Wanderers,Romain Saïss,1120,18,14,4,0.0035714285714285713
2018-2019,Wolverhampton Wanderers,Rúben Vinagre,672,12,8,4,0.005952380952380952
2018-2019,Southampton,Alex McCarthy,2250,27,41,-14,-0.006222222222222222
2018-2019,Southampton,Cédric Soares,1494,14,29,-15,-0.010040160642570281
2018-2019,Southampton,Jannik Vestergaard,2030,28,30,-2,-0.0009852216748768472
2018-2019,Southampton,Jack Stephens,1691,17,33,-16,-0.009461856889414548
2018-2019,Southampton,Wesley Hoedt,1170,10,22,-12,-0.010256410256410256
2018-2019,Southampton,Charlie Austin,957,11,14,-3,-0.003134796238244514
2018-2019,Southampton,Oriol Romeu,2138,27,35,-8,-0.0037418147801683817
2018-2019,Southampton,Stuart Armstrong,1394,21,21,0,0.0
2018-2019,Southampton,Mario Lemina,1615,16,34,-18,-0.011145510835913313
2018-2019,Southampton,Ryan Bertrand,2160,26,40,-14,-0.006481481481481481
2018-2019,Southampton,Nathan Redmond,3276,42,56,-14,-0.004273504273504274
2018-2019,Southampton,Angus Gunn,1080,17,18,-1,-0.000925925925925926
2018-2019,Southampton,Danny Ings,1668,22,26,-4,-0.002398081534772182
2018-2019,Southampton,Mohamed Elyounoussi,778,7,9,-2,-0.002570694087403599
2018-2019,Southampton,James Ward-Prowse,1932,27,39,-12,-0.006211180124223602
2018-2019,Southampton,Manolo Gabbiadini,470,3,12,-9,-0.019148936170212766
