Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Norwich City,Liverpool,0,3,"['Tim Krul', 'Max Aarons', 'Ben Gibson', 'Grant Hanley', 'Lukas Rupp', 'Billy Gilmour', 'Todd Cantwell', 'Milot Rashica', 'Pierre Lees-Melou', 'Teemu Pukki', 'Dimitris Giannoulis']","['Angus Gunn', 'Christoph Zimmermann', 'Kieran Dowell', 'Christos Tzolis', 'Jakob Sørensen', 'Kenny McLean', 'Josh Sargent', 'Bali Mumba', 'Adam Idah']","['Alisson', 'Virgil van Dijk', 'James Milner', 'Naby Keïta', 'Sadio Mané', 'Mohamed Salah', 'Alex Oxlade-Chamberlain', 'Diogo Jota', 'Kostas Tsimikas', 'Joël Matip', 'Trent Alexander-Arnold']","['Caoimhín Kelleher', 'Fabinho', 'Ibrahima Konaté', 'Roberto Firmino', 'Joe Gomez', 'Takumi Minamino', 'Divock Origi', 'Ben Woodburn', 'Harvey Elliott']",[],"[26, 65, 74]","[[77, 'Teemu Pukki', 'Adam Idah'], [77, 'Milot Rashica', 'Josh Sargent'], [86, 'Todd Cantwell', 'Kieran Dowell']]","[[61, 'Diogo Jota', 'Roberto Firmino'], [61, 'Alex Oxlade-Chamberlain', 'Fabinho'], [83, 'Naby Keïta', 'Harvey Elliott']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Newcastle United,West Ham United,2,4,"['Freddie Woodman', 'Ciaran Clark', 'Jonjo Shelvey', 'Callum Wilson', 'Allan Saint-Maximin', 'Matt Ritchie', 'Isaac Hayden', 'Emil Krafth', 'Federico Fernández', 'Jacob Murphy', 'Miguel Almirón']","['Mark Gillespie', 'Fabian Schär', 'Jamaal Lascelles', 'Joelinton', 'Jamal Lewis', 'Jeff Hendrick', 'Ryan Fraser', 'Dwight Gayle', 'Sean Longstaff']","['Łukasz Fabiański', 'Aaron Cresswell', 'Vladimír Coufal', 'Pablo Fornals', 'Michail Antonio', 'Craig Dawson', 'Jarrod Bowen', 'Angelo Ogbonna', 'Saïd Benrahma', 'Tomáš Souček', 'Declan Rice']","['Alphonse Areola', 'Andriy Yarmolenko', 'Manuel Lanzini', 'Mark Noble', 'Issa Diop', 'Ryan Fredericks', 'Ben Johnson', 'Conor Coventry', 'Jamal Baptiste']","[5, 40]","[18, 53, 63, 66]","[[70, 'Jonjo Shelvey', 'Ryan Fraser'], [84, 'Emil Krafth', 'Sean Longstaff'], [85, 'Callum Wilson', 'Joelinton']]","[[88, 'Saïd Benrahma', 'Ryan Fredericks'], [90, 'Jarrod Bowen', 'Andriy Yarmolenko'], [90, 'Michail Antonio', 'Ben Johnson']]",[],[]
2021-2022,Tottenham Hotspur,Manchester City,1,0,"['Hugo Lloris', 'Sergio Reguilón', 'Pierre Højbjerg', 'Davinson Sánchez', 'Son Heung-min', 'Eric Dier', 'Dele Alli', 'Steven Bergwijn', 'Japhet Tanganga', 'Lucas Moura', 'Oliver Skipp']","['Pierluigi Gollini', 'Matt Doherty', 'Cristian Romero', 'Harry Winks', 'Bryan', 'Moussa Sissoko', 'Giovani Lo Celso', 'Ben Davies', 'Dane Scarlett']","['Ederson', 'Rúben Dias', 'Nathan Aké', 'Raheem Sterling', 'İlkay Gündoğan', 'Jack Grealish', 'Ferrán Torres', 'Benjamin Mendy', 'Fernandinho', 'Riyad Mahrez', 'João Cancelo']","['Zack Steffen', 'Kyle Walker', 'John Stones', 'Gabriel Jesus', 'Oleksandr Zinchenko', 'Aymeric Laporte', 'Rodri', 'Kevin De Bruyne', 'Bernardo Silva']",[55],[],"[[77, 'Steven Bergwijn', 'Giovani Lo Celso'], [83, 'Japhet Tanganga', 'Matt Doherty'], [90, 'Pierre Højbjerg', 'Cristian Romero']]","[[70, 'Raheem Sterling', 'Gabriel Jesus'], [79, 'Riyad Mahrez', 'Kevin De Bruyne'], [79, 'Benjamin Mendy', 'Oleksandr Zinchenko']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Liverpool,Burnley,2,0,"['Alisson', 'Virgil van Dijk', 'Naby Keïta', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Diogo Jota', 'Kostas Tsimikas', 'Joël Matip', 'Trent Alexander-Arnold', 'Harvey Elliott']","['Adrián', 'Caoimhín Kelleher', 'Ibrahima Konaté', 'Thiago Alcántara', 'Roberto Firmino', 'Joe Gomez', 'Curtis Jones', 'Takumi Minamino', 'Andrew Robertson']","['Nick Pope', 'Matthew Lowton', 'Charlie Taylor', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Josh Brownhill', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil']","['Wayne Hennessey', 'Will Norris', 'Jay Rodriguez', 'Nathan Collins', 'Erik Pieters', 'Phil Bardsley', 'Bobby Thomas', 'Lewis Richardson', 'Owen Dodgson']","[18, 69]",[],"[[81, 'Naby Keïta', 'Thiago Alcántara'], [81, 'Diogo Jota', 'Roberto Firmino'], [90, 'Kostas Tsimikas', 'Joe Gomez']]","[[75, 'Chris Wood', 'Jay Rodriguez'], [79, 'Jóhann Berg Guðmundsson', 'Erik Pieters']]",[],[]
2021-2022,Aston Villa,Newcastle United,2,0,"['Emiliano Martínez', 'Matty Cash', 'Ezri Konsa', 'Tyrone Mings', 'Douglas Luiz', 'John McGinn', 'Emi Buendía', 'Ashley Young', 'Danny Ings', 'Anwar El Ghazi', 'Jacob Ramsey']","['Jed Steer', 'Matt Targett', 'Wesley Moraes', 'Conor Hourihane', 'Axel Tuanzebe', 'Marvelous Nakamba', 'Kortney Hause', 'Jaden Philogene Bidace', 'Carney Chukwuemeka']","['Freddie Woodman', 'Fabian Schär', 'Jamaal Lascelles', 'Callum Wilson', 'Allan Saint-Maximin', 'Matt Ritchie', 'Isaac Hayden', 'Federico Fernández', 'Jacob Murphy', 'Miguel Almirón', 'Joe Willock']","['Mark Gillespie', 'Ciaran Clark', 'Joelinton', 'Jamal Lewis', 'Jeff Hendrick', 'Emil Krafth', 'Ryan Fraser', 'Dwight Gayle', 'Sean Longstaff']","[45, 62]",[],"[[86, 'Emi Buendía', 'Jaden Philogene Bidace'], [88, 'Douglas Luiz', 'Axel Tuanzebe'], [90, 'Danny Ings', 'Wesley Moraes']]","[[46, 'Isaac Hayden', 'Sean Longstaff'], [78, 'Federico Fernández', 'Joelinton'], [90, 'Joe Willock', 'Ryan Fraser']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2021-2022,Manchester City,Norwich City,5,0,"['Ederson', 'Kyle Walker', 'Rúben Dias', 'İlkay Gündoğan', 'Gabriel Jesus', 'Jack Grealish', 'Aymeric Laporte', 'Rodri', 'Bernardo Silva', 'Ferrán Torres', 'João Cancelo']","['Zack Steffen', 'Nathan Aké', 'Raheem Sterling', 'Oleksandr Zinchenko', 'Benjamin Mendy', 'Fernandinho', 'Riyad Mahrez', 'Thomas Doyle', 'Cole Palmer']","['Tim Krul', 'Max Aarons', 'Ben Gibson', 'Grant Hanley', 'Lukas Rupp', 'Billy Gilmour', 'Todd Cantwell', 'Milot Rashica', 'Pierre Lees-Melou', 'Teemu Pukki', 'Dimitris Giannoulis']","['Angus Gunn', 'Kieran Dowell', 'Christos Tzolis', 'Jakob Sørensen', 'Kenny McLean', 'Josh Sargent', 'Bali Mumba', 'Adam Idah', 'Andrew Omobamidele']","[22, 64, 71, 84]",[],"[[61, 'Ferrán Torres', 'Raheem Sterling'], [69, 'İlkay Gündoğan', 'Cole Palmer'], [75, 'Jack Grealish', 'Riyad Mahrez']]","[[46, 'Lukas Rupp', 'Kenny McLean'], [46, 'Dimitris Giannoulis', 'Bali Mumba'], [77, 'Teemu Pukki', 'Josh Sargent']]",[],[]
2021-2022,Leeds United,Everton,2,2,"['Illan Meslier', 'Luke Ayling', 'Junior Firpo', 'Liam Cooper', 'Patrick Bamford', 'Raphinha', 'Stuart Dallas', 'Pascal Struijk', 'Jack Harrison', 'Kalvin Phillips', 'Mateusz Klich']","['Kristoffer Klaesson', 'Adam Forshaw', 'Tyler Roberts', 'Hélder Costa', 'Rodrigo', 'Charlie Cresswell', 'Cody Drameh', 'Crysencio Summerville', 'Jamie Shackleton']","['Jordan Pickford', 'Michael Keane', 'Allan', 'Richarlison', 'Dominic Calvert-Lewin', 'Demarai Gray', 'Lucas Digne', 'Yerry Mina', 'Abdoulaye Doucouré', 'Alex Iwobi', 'Séamus Coleman']","['Asmir Begović', 'Jonjoe Kenny', 'Mason Holgate', 'Fabian Delph', 'Andros Townsend', 'Jean-Philippe Gbamin', 'Tom Davies', 'Moise Kean', 'Jarrad Branthwaite']","[41, 72]","[30, 50]","[[60, 'Junior Firpo', 'Jamie Shackleton'], [60, 'Mateusz Klich', 'Tyler Roberts']]","[[75, 'Alex Iwobi', 'Andros Townsend'], [83, 'Demarai Gray', 'Fabian Delph'], [90, 'Dominic Calvert-Lewin', 'Moise Kean']]",[],[]
