Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2020-2021,Manchester United,Tottenham Hotspur,1,6,"['David de Gea', 'Eric Bailly', 'Harry Maguire', 'Paul Pogba', 'Anthony Martial', 'Marcus Rashford', 'Mason Greenwood', 'Bruno Fernandes', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Nemanja Matić']","['Dean Henderson', 'Victor Lindelöf', 'Juan Mata', 'Jesse Lingard', 'Fred', 'Donny van de Beek', 'Scott McTominay']","['Hugo Lloris', 'Sergio Reguilón', 'Pierre Højbjerg', 'Davinson Sánchez', 'Son Heung-min', 'Harry Kane', 'Érik Lamela', 'Eric Dier', 'Moussa Sissoko', 'Serge Aurier', 'Tanguy Ndombele']","['Joe Hart', 'Matt Doherty', 'Toby Alderweireld', 'Harry Winks', 'Dele Alli', 'Lucas Moura', 'Ben Davies']",[2],"[4, 7, 30, 37, 51, 79]","[[46, 'Bruno Fernandes', 'Fred'], [46, 'Nemanja Matić', 'Scott McTominay'], [68, 'Mason Greenwood', 'Donny van de Beek']]","[[46, 'Érik Lamela', 'Lucas Moura'], [69, 'Tanguy Ndombele', 'Dele Alli'], [73, 'Son Heung-min', 'Ben Davies']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2020-2021,Aston Villa,Liverpool,7,2,"['Emiliano Martínez', 'Matty Cash', 'Ezri Konsa', 'Tyrone Mings', 'Douglas Luiz', 'John McGinn', 'Jack Grealish', 'Ollie Watkins', 'Trézéguet', 'Matt Targett', 'Ross Barkley']","['Jed Steer', 'Conor Hourihane', 'Bertrand Traoré', 'Marvelous Nakamba', 'Anwar El Ghazi', 'Ahmed Elmohamady', 'Keinan Davis']","['Adrián', 'Fabinho', 'Virgil van Dijk', 'Georginio Wijnaldum', 'Naby Keïta', 'Roberto Firmino', 'Mohamed Salah', 'Joe Gomez', 'Diogo Jota', 'Andrew Robertson', 'Trent Alexander-Arnold']","['Caoimhín Kelleher', 'James Milner', 'Jordan Henderson', 'Curtis Jones', 'Takumi Minamino', 'Divock Origi', 'Neco Williams']","[4, 22, 35, 39, 55, 66, 75]","[33, 60]","[[80, 'Matty Cash', 'Ahmed Elmohamady'], [80, 'Douglas Luiz', 'Marvelous Nakamba'], [87, 'Trézéguet', 'Bertrand Traoré']]","[[46, 'Naby Keïta', 'Takumi Minamino'], [61, 'Joe Gomez', 'Curtis Jones'], [68, 'Roberto Firmino', 'James Milner']]",[],[]
2020-2021,Everton,Liverpool,2,2,"['Jordan Pickford', 'Michael Keane', 'Allan', 'Richarlison', 'Dominic Calvert-Lewin', 'Lucas Digne', 'Yerry Mina', 'Abdoulaye Doucouré', 'James Rodríguez', 'André Gomes', 'Séamus Coleman']","['Robin Olsen', 'Fabian Delph', 'Gylfi Sigurðsson', 'Alex Iwobi', 'Bernard', 'Ben Godfrey', 'Tom Davies']","['Adrián', 'Fabinho', 'Virgil van Dijk', 'Thiago Alcántara', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Andrew Robertson', 'Joël Matip', 'Trent Alexander-Arnold']","['Caoimhín Kelleher', 'Georginio Wijnaldum', 'James Milner', 'Joe Gomez', 'Curtis Jones', 'Takumi Minamino', 'Diogo Jota']","[19, 81]","[3, 72]","[[31, 'Séamus Coleman', 'Ben Godfrey'], [72, 'André Gomes', 'Gylfi Sigurðsson'], [78, 'Abdoulaye Doucouré', 'Alex Iwobi']]","[[11, 'Virgil van Dijk', 'Joe Gomez'], [78, 'Roberto Firmino', 'Diogo Jota'], [90, 'Fabinho', 'Georginio Wijnaldum']]",[],[]
2020-2021,Chelsea,Southampton,3,3,"['Kepa Arrizabalaga', 'Andreas Christensen', 'Jorginho', ""N'Golo Kanté"", 'Christian Pulisic', 'Timo Werner', 'Kurt Zouma', 'Mason Mount', 'Ben Chilwell', 'César Azpilicueta', 'Kai Havertz']","['Willy Caballero', 'Tammy Abraham', 'Fikayo Tomori', 'Olivier Giroud', 'Callum Hudson-Odoi', 'Hakim Ziyech', 'Reece James']","['Alex McCarthy', 'Kyle Walker-Peters', 'Ryan Bertrand', 'Jannik Vestergaard', 'Oriol Romeu', 'James Ward-Prowse', 'Danny Ings', 'Che Adams', 'Nathan Redmond', 'Theo Walcott', 'Jan Bednarek']","['Fraser Forster', 'Jack Stephens', 'Shane Long', 'Michael Obafemi', 'Yan Valery', 'Nathan Tella', 'Ibrahima Diallo']","[15, 28, 59]","[43, 57, 90]","[[72, 'Mason Mount', 'Hakim Ziyech'], [87, 'Christian Pulisic', 'Reece James'], [90, 'Timo Werner', 'Tammy Abraham']]","[[77, 'Nathan Redmond', 'Nathan Tella'], [86, 'Che Adams', 'Shane Long'], [87, 'Oriol Romeu', 'Ibrahima Diallo']]",[],[]
2020-2021,Manchester City,Arsenal,1,0,"['Ederson', 'Kyle Walker', 'Rúben Dias', 'Nathan Aké', 'Raheem Sterling', 'Sergio Agüero', 'Rodri', 'Bernardo Silva', 'Riyad Mahrez', 'João Cancelo', 'Phil Foden']","['Zack Steffen', 'John Stones', 'İlkay Gündoğan', 'Ferrán Torres', 'Fernandinho', 'Liam Delap', 'Eric García']","['Bernd Leno', 'Héctor Bellerín', 'Kieran Tierney', 'Gabriel Dos Santos', 'Bukayo Saka', 'Dani Ceballos', 'Willian', 'Pierre-Emerick Aubameyang', 'Nicolas Pépé', 'David Luiz', 'Granit Xhaka']","['Rúnar Alex Rúnarsson', 'Alexandre Lacazette', 'Ainsley Maitland-Niles', 'Thomas Partey', 'Mohamed Elneny', 'Eddie Nketiah']",[23],[],"[[65, 'Sergio Agüero', 'İlkay Gündoğan'], [89, 'Phil Foden', 'Fernandinho']]","[[69, 'Willian', 'Alexandre Lacazette'], [83, 'Nicolas Pépé', 'Eddie Nketiah'], [83, 'Granit Xhaka', 'Thomas Partey']]",[],[]
2020-2021,Newcastle United,Manchester United,1,4,"['Karl Darlow', 'Jamaal Lascelles', 'Jonjo Shelvey', 'Joelinton', 'Allan Saint-Maximin', 'Callum Wilson', 'Isaac Hayden', 'Jamal Lewis', 'Jeff Hendrick', 'Emil Krafth', 'Federico Fernández']","['Mark Gillespie', 'Fabian Schär', 'Andy Carroll', 'Javier Manquillo', 'Ryan Fraser', 'Jacob Murphy', 'Miguel Almirón']","['David de Gea', 'Victor Lindelöf', 'Harry Maguire', 'Juan Mata', 'Marcus Rashford', 'Fred', 'Bruno Fernandes', 'Daniel James', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Scott McTominay']","['Dean Henderson', 'Eric Bailly', 'Paul Pogba', 'Odion Ighalo', 'Alex Telles', 'Nemanja Matić', 'Donny van de Beek']",[],"[23, 86, 90, 90]","[[49, 'Isaac Hayden', 'Fabian Schär'], [72, 'Joelinton', 'Ryan Fraser'], [88, 'Jeff Hendrick', 'Miguel Almirón']]","[[69, 'Fred', 'Paul Pogba'], [76, 'Daniel James', 'Donny van de Beek'], [90, 'Juan Mata', 'Nemanja Matić']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2020-2021,Sheffield United,Fulham,1,1,"['Aaron Ramsdale', 'George Baldock', 'Enda Stevens', 'Chris Basham', 'John Lundstram', 'Sander Berge', 'Oliver McBurnie', 'John Egan', 'Max Lowe', 'Oliver Norwood', 'David McGoldrick']","['Michael Verrips', 'Billy Sharp', 'Oliver Burke', 'Jack Robinson', 'Ethan Ampadu', 'Ben Osborn', 'Rhian Brewster']","['Alphonse Areola', 'Aleksandar Mitrović', 'Tom Cairney', 'Tim Ream', 'Ruben Loftus-Cheek', 'Tosin Adarabioyo', 'Ivan Cavaleiro', 'Ademola Lookman', 'Andre-Frank Zambo Anguissa', 'Antonee Robinson', 'Ola Aina']","['Marek Rodák', 'Neeskens Kebano', 'Bobby Reid', 'Mario Lemina', 'Maxime Le Marchand', 'Joe Bryan', 'Aboubakar Kamara']",[85],[77],"[[19, 'Max Lowe', 'Jack Robinson'], [64, 'David McGoldrick', 'Rhian Brewster'], [81, 'Chris Basham', 'Billy Sharp']]","[[81, 'Ruben Loftus-Cheek', 'Mario Lemina']]",[],[]
2020-2021,Crystal Palace,Brighton & Hove Albion,1,1,"['Vicente Guaita', 'Joel Ward', 'Cheikhou Kouyaté', 'Andros Townsend', 'Wilfried Zaha', 'Jeffrey Schlupp', 'James McArthur', 'Michy Batshuayi', 'Gary Cahill', 'Tyrick Mitchell', 'Jaïro Riedewald']","['Stephen Henderson', 'Patrick van Aanholt', 'Luka Milivojević', 'Mamadou Sakho', 'Nathaniel Clyne', 'Christian Benteke', 'Eberechi Eze']","['Mathew Ryan', 'Tariq Lamptey', 'Ben White', 'Adam Webster', 'Lewis Dunk', 'Yves Bissouma', 'Neal Maupay', 'Leandro Trossard', 'Adam Lallana', 'Solly March', 'Dan Burn']","['Jason Steele', 'Aaron Connolly', 'Alexis Mac Allister', 'Pascal Groß', 'Steven Alzate', 'Bernardo', 'Joël Veltman']",[19],[90],"[[83, 'Michy Batshuayi', 'Luka Milivojević'], [88, 'Jeffrey Schlupp', 'Christian Benteke']]","[[78, 'Adam Lallana', 'Alexis Mac Allister'], [78, 'Leandro Trossard', 'Aaron Connolly'], [82, 'Dan Burn', 'Pascal Groß']]",[],"[[90, 'Lewis Dunk']]"
2020-2021,Tottenham Hotspur,West Ham United,3,3,"['Hugo Lloris', 'Sergio Reguilón', 'Toby Alderweireld', 'Pierre Højbjerg', 'Davinson Sánchez', 'Son Heung-min', 'Harry Kane', 'Moussa Sissoko', 'Steven Bergwijn', 'Serge Aurier', 'Tanguy Ndombele']","['Joe Hart', 'Matt Doherty', 'Harry Winks', 'Gareth Bale', 'Lucas Moura', 'Ben Davies', 'Carlos Vinícius']","['Łukasz Fabiański', 'Aaron Cresswell', 'Fabián Balbuena', 'Vladimír Coufal', 'Pablo Fornals', 'Jarrod Bowen', 'Angelo Ogbonna', 'Arthur Masuaku', 'Tomáš Souček', 'Michail Antonio', 'Declan Rice']","['Darren Randolph', 'Andriy Yarmolenko', 'Manuel Lanzini', 'Robert Snodgrass', 'Mark Noble', 'Issa Diop', 'Ryan Fredericks']","[1, 8, 16]","[82, 90]","[[72, 'Steven Bergwijn', 'Gareth Bale'], [73, 'Tanguy Ndombele', 'Harry Winks'], [80, 'Son Heung-min', 'Lucas Moura']]","[[77, 'Pablo Fornals', 'Manuel Lanzini'], [77, 'Michail Antonio', 'Andriy Yarmolenko'], [90, 'Arthur Masuaku', 'Robert Snodgrass']]",[],[]
2020-2021,Leicester City,Aston Villa,0,1,"['Kasper Schmeichel', 'James Justin', 'Wesley Fofana', 'Jonny Evans', 'Youri Tielemans', 'Kelechi Iheanacho', 'Harvey Barnes', 'Ayoze Pérez', 'Nampalys Mendy', 'Dennis Praet', 'Timothy Castagne']","['Danny Ward', 'Wes Morgan', 'James Maddison', 'Marc Albrighton', 'Islam Slimani', 'Cengiz Ünder', 'Hamza Choudhury']","['Emiliano Martínez', 'Matty Cash', 'Ezri Konsa', 'Tyrone Mings', 'Douglas Luiz', 'John McGinn', 'Jack Grealish', 'Ollie Watkins', 'Trézéguet', 'Matt Targett', 'Ross Barkley']","['Jed Steer', 'Conor Hourihane', 'Bertrand Traoré', 'Marvelous Nakamba', 'Anwar El Ghazi', 'Björn Engels', 'Ahmed Elmohamady']",[],[90],"[[68, 'Dennis Praet', 'James Maddison'], [71, 'Kelechi Iheanacho', 'Islam Slimani'], [78, 'Nampalys Mendy', 'Hamza Choudhury']]","[[81, 'Trézéguet', 'Bertrand Traoré']]",[],[]
2020-2021,West Bromwich Albion,Burnley,0,0,"['Sam Johnstone', 'Darnell Furlong', 'Jake Livermore', 'Grady Diangana', 'Matheus Pereira', 'Conor Townsend', 'Filip Krovinović', 'Conor Gallagher', 'Branislav Ivanović', 'Ahmed Hegazi', 'Karlan Grant']","['David Button', 'Kyle Bartley', 'Semi Ajayi', 'Callum Robinson', 'Matt Phillips', 'Romaine Sawyers', ""Dara O'Shea""]","['Nick Pope', 'Charlie Taylor', 'James Tarkowski', 'Jóhann Berg Guðmundsson', 'Josh Brownhill', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood', 'Erik Pieters', 'Kevin Long']","['Will Norris', 'Robbie Brady', 'Dale Stephens', 'Jay Rodriguez', 'Matěj Vydra', 'Jimmy Dunne', 'Anthony Driscoll-Glennon']",[],[],"[[73, 'Karlan Grant', 'Callum Robinson'], [79, 'Filip Krovinović', 'Romaine Sawyers'], [88, 'Matheus Pereira', 'Matt Phillips']]","[[69, 'Jóhann Berg Guðmundsson', 'Robbie Brady'], [77, 'Ashley Barnes', 'Jay Rodriguez']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2020-2021,Leeds United,Wolverhampton Wanderers,0,1,"['Illan Meslier', 'Luke Ayling', 'Robin Koch', 'Patrick Bamford', 'Stuart Dallas', 'Hélder Costa', 'Rodrigo', 'Pascal Struijk', 'Jack Harrison', 'Kalvin Phillips', 'Mateusz Klich']","['Kiko Casilla', 'Ian Carlo Poveda', 'Ezgjan Alioski', 'Tyler Roberts', 'Raphinha', 'Pablo Hernández', 'Jamie Shackleton']","['Rui Patrício', 'Pedro Neto', 'Raúl Jiménez', 'Daniel Podence', 'Willy Boly', 'Conor Coady', 'Nélson Semedo', 'Romain Saïss', 'João Moutinho', 'Leander Dendoncker', 'Max Kilman']","['John Ruddy', 'Ki-Jana Hoever', 'Fernando Marçal', 'Rúben Neves', 'Fábio Silva', 'Adama Traoré', 'Owen Otasowie']",[],[70],"[[71, 'Hélder Costa', 'Ian Carlo Poveda'], [75, 'Pascal Struijk', 'Pablo Hernández'], [82, 'Jack Harrison', 'Raphinha']]","[[65, 'Daniel Podence', 'Adama Traoré'], [82, 'João Moutinho', 'Rúben Neves'], [89, 'Pedro Neto', 'Fernando Marçal']]",[],[]
2020-2021,Aston Villa,Leeds United,0,3,"['Emiliano Martínez', 'Matty Cash', 'Ezri Konsa', 'Tyrone Mings', 'Douglas Luiz', 'John McGinn', 'Jack Grealish', 'Ollie Watkins', 'Trézéguet', 'Matt Targett', 'Ross Barkley']","['Jed Steer', 'Conor Hourihane', 'Bertrand Traoré', 'Marvelous Nakamba', 'Björn Engels', 'Ahmed Elmohamady', 'Keinan Davis']","['Illan Meslier', 'Luke Ayling', 'Robin Koch', 'Patrick Bamford', 'Ezgjan Alioski', 'Stuart Dallas', 'Hélder Costa', 'Rodrigo', 'Pascal Struijk', 'Jack Harrison', 'Mateusz Klich']","['Kiko Casilla', 'Ian Carlo Poveda', 'Tyler Roberts', 'Raphinha', 'Pablo Hernández', 'Leif Davis', 'Jamie Shackleton']",[],"[55, 67, 74]","[[66, 'Trézéguet', 'Bertrand Traoré']]","[[21, 'Pascal Struijk', 'Jamie Shackleton'], [79, 'Rodrigo', 'Pablo Hernández'], [83, 'Hélder Costa', 'Raphinha']]",[],[]
2020-2021,West Ham United,Manchester City,1,1,"['Łukasz Fabiański', 'Aaron Cresswell', 'Fabián Balbuena', 'Vladimír Coufal', 'Pablo Fornals', 'Jarrod Bowen', 'Angelo Ogbonna', 'Arthur Masuaku', 'Tomáš Souček', 'Michail Antonio', 'Declan Rice']","['Darren Randolph', 'Andriy Yarmolenko', 'Manuel Lanzini', 'Mark Noble', 'Sébastien Haller', 'Issa Diop', 'Ryan Fredericks']","['Ederson', 'Kyle Walker', 'Rúben Dias', 'Raheem Sterling', 'İlkay Gündoğan', 'Sergio Agüero', 'Rodri', 'Bernardo Silva', 'Riyad Mahrez', 'João Cancelo', 'Eric García']","['Zack Steffen', 'John Stones', 'Oleksandr Zinchenko', 'Kevin De Bruyne', 'Ferrán Torres', 'Phil Foden', 'Cole Palmer']",[18],[51],"[[52, 'Michail Antonio', 'Andriy Yarmolenko'], [69, 'Jarrod Bowen', 'Sébastien Haller']]","[[46, 'Sergio Agüero', 'Phil Foden'], [68, 'Bernardo Silva', 'Kevin De Bruyne'], [78, 'Kyle Walker', 'Oleksandr Zinchenko']]",[],[]
2020-2021,Fulham,Crystal Palace,1,2,"['Alphonse Areola', 'Aleksandar Mitrović', 'Tom Cairney', 'Tim Ream', 'Ruben Loftus-Cheek', 'Tosin Adarabioyo', 'Mario Lemina', 'Ademola Lookman', 'Andre-Frank Zambo Anguissa', 'Antonee Robinson', 'Ola Aina']","['Marek Rodák', 'Denis Odoi', 'Bobby Reid', 'Maxime Le Marchand', 'Harrison Reed', 'Joe Bryan', 'Aboubakar Kamara']","['Vicente Guaita', 'Luka Milivojević', 'Scott Dann', 'Cheikhou Kouyaté', 'Andros Townsend', 'Wilfried Zaha', 'Jeffrey Schlupp', 'Nathaniel Clyne', 'Michy Batshuayi', 'Tyrick Mitchell', 'Jaïro Riedewald']","['Stephen Henderson', 'Patrick van Aanholt', 'Max Meyer', 'Mamadou Sakho', 'Christian Benteke', 'Eberechi Eze', 'Martin Kelly']",[90],"[8, 64]","[[66, 'Andre-Frank Zambo Anguissa', 'Aboubakar Kamara'], [74, 'Ruben Loftus-Cheek', 'Bobby Reid'], [79, 'Mario Lemina', 'Harrison Reed']]","[[72, 'Nathaniel Clyne', 'Patrick van Aanholt'], [76, 'Jeffrey Schlupp', 'Eberechi Eze'], [85, 'Jaïro Riedewald', 'Mamadou Sakho']]",[],[]
2020-2021,Manchester United,Chelsea,0,0,"['David de Gea', 'Victor Lindelöf', 'Harry Maguire', 'Juan Mata', 'Marcus Rashford', 'Fred', 'Bruno Fernandes', 'Daniel James', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Scott McTominay']","['Dean Henderson', 'Paul Pogba', 'Edinson Cavani', 'Mason Greenwood', 'Nemanja Matić', 'Donny van de Beek', 'Axel Tuanzebe']","['Edouard Mendy', 'Jorginho', 'Thiago Silva', ""N'Golo Kanté"", 'Christian Pulisic', 'Timo Werner', 'Kurt Zouma', 'Ben Chilwell', 'Reece James', 'César Azpilicueta', 'Kai Havertz']","['Willy Caballero', 'Antonio Rüdiger', 'Tammy Abraham', 'Mateo Kovačić', 'Olivier Giroud', 'Mason Mount', 'Hakim Ziyech']",[],[],"[[58, 'Juan Mata', 'Paul Pogba'], [58, 'Daniel James', 'Edinson Cavani'], [83, 'Scott McTominay', 'Mason Greenwood']]","[[71, 'Timo Werner', 'Tammy Abraham'], [72, 'Kai Havertz', 'Mason Mount'], [81, 'Christian Pulisic', 'Hakim Ziyech']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2020-2021,Liverpool,Sheffield United,2,1,"['Alisson', 'Fabinho', 'Georginio Wijnaldum', 'Roberto Firmino', 'Sadio Mané', 'Mohamed Salah', 'Joe Gomez', 'Jordan Henderson', 'Diogo Jota', 'Andrew Robertson', 'Trent Alexander-Arnold']","['Adrián', 'James Milner', 'Curtis Jones', 'Takumi Minamino', 'Xherdan Shaqiri', 'Nathaniel Phillips', 'Neco Williams']","['Aaron Ramsdale', 'George Baldock', 'Enda Stevens', 'Chris Basham', 'John Lundstram', 'Sander Berge', 'Oliver McBurnie', 'John Egan', 'Ethan Ampadu', 'Ben Osborn', 'Rhian Brewster']","['Michael Verrips', 'Billy Sharp', 'Oliver Burke', 'Phil Jagielka', 'Oliver Norwood', 'David McGoldrick', 'Jack Robinson']","[41, 64]",[13],"[[83, 'Diogo Jota', 'James Milner'], [83, 'Roberto Firmino', 'Takumi Minamino']]","[[54, 'Rhian Brewster', 'Oliver Burke'], [76, 'John Lundstram', 'David McGoldrick']]",[],[]
2020-2021,Southampton,Everton,2,0,"['Alex McCarthy', 'Kyle Walker-Peters', 'Ryan Bertrand', 'Jannik Vestergaard', 'Oriol Romeu', 'James Ward-Prowse', 'Danny Ings', 'Che Adams', 'Nathan Redmond', 'Stuart Armstrong', 'Jan Bednarek']","['Fraser Forster', 'Jack Stephens', 'Shane Long', 'Nathan Tella', 'Ibrahima Diallo', 'Jake Vokins', 'Dan Nlundulu']","['Jordan Pickford', 'Michael Keane', 'Allan', 'Dominic Calvert-Lewin', 'Gylfi Sigurðsson', 'Lucas Digne', 'Yerry Mina', 'Abdoulaye Doucouré', 'Alex Iwobi', 'James Rodríguez', 'Ben Godfrey']","['Robin Olsen', 'Fabian Delph', 'Niels Nkounkou', 'Bernard', 'André Gomes', 'Anthony Gordon', 'Tom Davies']","[27, 35]",[],"[[86, 'Stuart Armstrong', 'Ibrahima Diallo'], [89, 'Che Adams', 'Dan Nlundulu']]","[[46, 'Alex Iwobi', 'Bernard'], [58, 'Abdoulaye Doucouré', 'Anthony Gordon'], [58, 'Gylfi Sigurðsson', 'Fabian Delph']]",[],"[[72, 'Lucas Digne']]"
2020-2021,Wolverhampton Wanderers,Newcastle United,1,1,"['Rui Patrício', 'Pedro Neto', 'Rúben Neves', 'Raúl Jiménez', 'Daniel Podence', 'Willy Boly', 'Conor Coady', 'Nélson Semedo', 'Romain Saïss', 'Leander Dendoncker', 'Max Kilman']","['John Ruddy', 'Ki-Jana Hoever', 'Rayan Aït Nouri', 'Fernando Marçal', 'Fábio Silva', 'João Moutinho', 'Adama Traoré']","['Karl Darlow', 'Fabian Schär', 'Jamaal Lascelles', 'Allan Saint-Maximin', 'Callum Wilson', 'Jamal Lewis', 'Jeff Hendrick', 'Federico Fernández', 'Ryan Fraser', 'Jacob Murphy', 'Miguel Almirón']","['Mark Gillespie', 'Andy Carroll', 'Joelinton', 'Isaac Hayden', 'Emil Krafth', 'Javier Manquillo', 'Sean Longstaff']",[80],[89],"[[68, 'Daniel Podence', 'Adama Traoré'], [68, 'Romain Saïss', 'Fernando Marçal'], [83, 'Rúben Neves', 'João Moutinho']]","[[78, 'Ryan Fraser', 'Joelinton'], [79, 'Allan Saint-Maximin', 'Sean Longstaff'], [88, 'Jamaal Lascelles', 'Andy Carroll']]",[],[]
2020-2021,Arsenal,Leicester City,0,1,"['Bernd Leno', 'Héctor Bellerín', 'Kieran Tierney', 'Gabriel Dos Santos', 'Bukayo Saka', 'Dani Ceballos', 'Alexandre Lacazette', 'Pierre-Emerick Aubameyang', 'Thomas Partey', 'David Luiz', 'Granit Xhaka']","['Rúnar Alex Rúnarsson', 'Ainsley Maitland-Niles', 'Nicolas Pépé', 'Shkodran Mustafi', 'Mohamed Elneny', 'Joe Willock', 'Eddie Nketiah']","['Kasper Schmeichel', 'James Justin', 'Wesley Fofana', 'Jonny Evans', 'Youri Tielemans', 'James Maddison', 'Harvey Barnes', 'Nampalys Mendy', 'Dennis Praet', 'Timothy Castagne', 'Christian Fuchs']","['Danny Ward', 'Wes Morgan', 'Jamie Vardy', 'Marc Albrighton', 'Kelechi Iheanacho', 'Cengiz Ünder', 'Hamza Choudhury']",[],[80],"[[49, 'David Luiz', 'Shkodran Mustafi'], [65, 'Bukayo Saka', 'Nicolas Pépé'], [81, 'Kieran Tierney', 'Eddie Nketiah']]","[[60, 'Dennis Praet', 'Jamie Vardy'], [75, 'Harvey Barnes', 'Cengiz Ünder'], [85, 'James Maddison', 'Marc Albrighton']]",[],[]
2020-2021,Brighton & Hove Albion,West Bromwich Albion,1,1,"['Mathew Ryan', 'Tariq Lamptey', 'Ben White', 'Adam Webster', 'Yves Bissouma', 'Neal Maupay', 'Leandro Trossard', 'Adam Lallana', 'Solly March', 'Dan Burn', 'Joël Veltman']","['Jason Steele', 'Aaron Connolly', 'Alexis Mac Allister', 'Pascal Groß', 'Steven Alzate', 'Danny Welbeck', 'Bernardo']","['Sam Johnstone', 'Darnell Furlong', 'Semi Ajayi', 'Jake Livermore', 'Grady Diangana', 'Matheus Pereira', 'Conor Townsend', 'Filip Krovinović', 'Conor Gallagher', 'Branislav Ivanović', 'Karlan Grant']","['David Button', 'Kieran Gibbs', 'Kyle Bartley', 'Callum Robinson', 'Matt Phillips', 'Rekeem Harper', 'Kyle Edwards']",[],[83],"[[61, 'Adam Lallana', 'Pascal Groß'], [70, 'Solly March', 'Alexis Mac Allister'], [79, 'Leandro Trossard', 'Steven Alzate']]","[[63, 'Jake Livermore', 'Callum Robinson'], [63, 'Grady Diangana', 'Kyle Edwards'], [84, 'Karlan Grant', 'Matt Phillips']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2020-2021,Burnley,Tottenham Hotspur,0,1,"['Nick Pope', 'Matthew Lowton', 'Charlie Taylor', 'James Tarkowski', 'Jóhann Berg Guðmundsson', 'Josh Brownhill', 'Chris Wood', 'Ashley Barnes', 'Dwight McNeil', 'Ashley Westwood', 'Kevin Long']","['Bailey Peacock-Farrell', 'Robbie Brady', 'Dale Stephens', 'Jay Rodriguez', 'Matěj Vydra', 'Jimmy Dunne', 'Josh Benson']","['Hugo Lloris', 'Matt Doherty', 'Toby Alderweireld', 'Pierre Højbjerg', 'Son Heung-min', 'Harry Kane', 'Eric Dier', 'Moussa Sissoko', 'Lucas Moura', 'Tanguy Ndombele', 'Ben Davies']","['Joe Hart', 'Sergio Reguilón', 'Gareth Bale', 'Érik Lamela', 'Joe Rodon', 'Giovani Lo Celso', 'Carlos Vinícius']",[],[76],"[[84, 'Jóhann Berg Guðmundsson', 'Jay Rodriguez'], [89, 'Ashley Barnes', 'Matěj Vydra']]","[[57, 'Lucas Moura', 'Érik Lamela'], [79, 'Tanguy Ndombele', 'Giovani Lo Celso'], [90, 'Son Heung-min', 'Joe Rodon']]",[],[]
2020-2021,Wolverhampton Wanderers,Crystal Palace,2,0,"['Rui Patrício', 'Rayan Aït Nouri', 'Pedro Neto', 'Rúben Neves', 'Raúl Jiménez', 'Daniel Podence', 'Willy Boly', 'Conor Coady', 'Nélson Semedo', 'Leander Dendoncker', 'Max Kilman']","['John Ruddy', 'Ki-Jana Hoever', 'Fábio Silva', 'Romain Saïss', 'João Moutinho', 'Adama Traoré', 'Owen Otasowie']","['Vicente Guaita', 'Patrick van Aanholt', 'Luka Milivojević', 'Scott Dann', 'Cheikhou Kouyaté', 'Andros Townsend', 'Wilfried Zaha', 'Jeffrey Schlupp', 'Nathaniel Clyne', 'Michy Batshuayi', 'Jaïro Riedewald']","['Stephen Henderson', 'Jordan Ayew', 'Mamadou Sakho', 'James McArthur', 'Christian Benteke', 'Eberechi Eze', 'Martin Kelly']","[18, 27]",[],"[[76, 'Pedro Neto', 'João Moutinho'], [76, 'Daniel Podence', 'Adama Traoré'], [90, 'Raúl Jiménez', 'Fábio Silva']]","[[65, 'Jeffrey Schlupp', 'Eberechi Eze'], [72, 'Andros Townsend', 'Jordan Ayew'], [84, 'Michy Batshuayi', 'Christian Benteke']]",[],"[[86, 'Luka Milivojević']]"
