Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2016-2017,Everton,Joel Robles,1736,40,20,20,0.01152073732718894
2016-2017,Everton,Morgan Schneiderlin,1059,25,13,12,0.0113314447592068
2016-2017,Everton,Leighton Baines,2821,51,33,18,0.006380716058135413
2016-2017,Everton,Ashley Williams,3240,52,41,11,0.0033950617283950617
2016-2017,Everton,Phil Jagielka,2333,33,33,0,0.0
2016-2017,Everton,Ross Barkley,2999,51,38,13,0.004334778259419807
2016-2017,Everton,Romelu Lukaku,3357,58,43,15,0.004468275245755138
2016-2017,Everton,Kevin Mirallas,2142,40,26,14,0.006535947712418301
2016-2017,Everton,Idrissa Gana Gueye,2769,41,31,10,0.0036114120621162874
2016-2017,Everton,Tom Davies,1542,27,17,10,0.00648508430609598
2016-2017,Everton,Mason Holgate,1362,20,17,3,0.0022026431718061676
2016-2017,Everton,Gareth Barry,2183,32,29,3,0.001374255611543747
2016-2017,Everton,Enner Valencia,888,16,11,5,0.00563063063063063
2016-2017,West Bromwich Albion,Ben Foster,3600,44,56,-12,-0.0033333333333333335
2016-2017,West Bromwich Albion,Allan Nyom,2818,37,45,-8,-0.0028388928317956
2016-2017,West Bromwich Albion,Jonny Evans,2728,29,43,-14,-0.005131964809384164
2016-2017,West Bromwich Albion,Jake Livermore,3112,28,60,-32,-0.010282776349614395
2016-2017,West Bromwich Albion,Salomón Rondón,3076,38,49,-11,-0.003576072821846554
2016-2017,West Bromwich Albion,Chris Brunt,2611,34,40,-6,-0.002297970126388357
2016-2017,West Bromwich Albion,James McClean,1597,14,30,-16,-0.010018785222291797
2016-2017,West Bromwich Albion,Gareth McAuley,3323,42,50,-8,-0.0024074631357207344
2016-2017,West Bromwich Albion,Darren Fletcher,3376,44,48,-4,-0.001184834123222749
2016-2017,West Bromwich Albion,Craig Dawson,3458,41,55,-14,-0.004048582995951417
2016-2017,West Bromwich Albion,Hal Robson-Kanu,649,11,10,1,0.0015408320493066256
2016-2017,West Bromwich Albion,Claudio Yacob,2462,33,37,-4,-0.0016246953696181965
2016-2017,West Bromwich Albion,James Morrison,1812,29,23,6,0.0033112582781456954
