,Season,Name,Age,Age_Squared,Min,Height,Position,Aerial_duels_per90,Assists_per90,Goals_per90,League,Squad,country_of_citizenship,foot
0,2021-2022,Harry Kane,28,784,3232,188cm, FW,2.08913649,0.25,0.47,1. Premier League,Tottenham,England,Right
1,2021-2022,Moisés Caicedo,19,361,660,178cm," MF (DM, left)",1.232876712,0.14,0.14,1. Premier League,Brighton,Ecuador,Right
2,2021-2022,Alexis Mac Allister,22,484,2123,174cm, MF (AM),1.016949153,0.08,0.21,1. Premier League,Brighton,Argentina,Right
3,2021-2022,James Ward-Prowse,26,676,3215,173cm," MF (AM-CM, right)",0.756302521,0.14,0.28,1. Premier League,Southampton,England,Right
4,2021-2022,David Raya,25,625,2160,186cm, GK,0.375,0,0,1. Premier League,Brentford,Spain,Right
