Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2011-2012,Arsenal,Wojciech Szczęsny,3420,73,44,29,0.00847953216374269
2011-2012,Arsenal,Alex Song,2999,67,34,33,0.011003667889296432
2011-2012,Arsenal,Robin van Persie,3333,71,42,29,0.0087008700870087
2011-2012,Arsenal,Kieran Gibbs,1253,23,12,11,0.008778930566640064
2011-2012,Arsenal,Bacary Sagna,1700,30,14,16,0.009411764705882352
2011-2012,Arsenal,Yossi Benayoun,904,20,15,5,0.0055309734513274336
2011-2012,Arsenal,Thomas Vermaelen,2478,50,22,28,0.011299435028248588
2011-2012,Arsenal,Tomáš Rosický,1759,40,31,9,0.00511654349061967
2011-2012,Arsenal,Gervinho,1698,38,19,19,0.011189634864546525
2011-2012,Arsenal,Aaron Ramsey,2466,46,30,16,0.006488240064882401
2011-2012,Arsenal,Laurent Koscielny,2963,67,39,28,0.009449881876476544
2011-2012,Arsenal,André Santos,1013,31,11,20,0.019743336623889437
2011-2012,Arsenal,Alex Oxlade-Chamberlain,558,14,9,5,0.008960573476702509
2011-2012,Arsenal,Marouane Chamakh,171,6,3,3,0.017543859649122806
2011-2012,Arsenal,Francis Coquelin,631,17,12,5,0.00792393026941363
2011-2012,Arsenal,Johan Djourou,1087,20,21,-1,-0.0009199632014719411
2011-2012,Arsenal,Park Chu-young,7,0,0,0,0.0
2011-2012,Manchester United,David de Gea,2610,67,27,40,0.01532567049808429
2011-2012,Manchester United,Javier Hernández,1478,41,9,32,0.02165087956698241
2011-2012,Manchester United,Wayne Rooney,2834,76,24,52,0.01834862385321101
2011-2012,Manchester United,Phil Jones,2125,45,18,27,0.012705882352941176
2011-2012,Manchester United,Ashley Young,1570,39,16,23,0.01464968152866242
2011-2012,Manchester United,Chris Smalling,1293,36,13,23,0.017788089713843776
2011-2012,Manchester United,Michael Carrick,2499,63,19,44,0.017607042817126852
2011-2012,Manchester United,Rio Ferdinand,2565,57,23,34,0.013255360623781676
2011-2012,Manchester United,Patrice Evra,3238,86,29,57,0.017603458925262508
2011-2012,Manchester United,Paul Scholes,1169,31,7,24,0.020530367835757058
2011-2012,Manchester United,Antonio Valencia,2120,55,16,39,0.01839622641509434
2011-2012,Manchester United,Ben Amos,90,2,0,2,0.022222222222222223
2011-2012,Manchester United,Rafael,1003,28,12,16,0.015952143569292122
2011-2012,Manchester United,Dimitar Berbatov,516,13,6,7,0.013565891472868217
2011-2012,Manchester United,Tom Cleverley,448,15,4,11,0.024553571428571428
2011-2012,Manchester United,Ryan Giggs,1470,35,13,22,0.014965986394557823
2011-2012,Manchester United,Park Ji-sung,929,22,9,13,0.013993541442411194
2011-2012,Manchester United,Nani,2109,51,20,31,0.01469890943575154
2011-2012,Wolverhampton Wanderers,Dorus de Vries,321,5,8,-3,-0.009345794392523364
2011-2012,Wolverhampton Wanderers,Michael Kightly,1192,11,31,-20,-0.016778523489932886
2011-2012,Wolverhampton Wanderers,Steven Fletcher,2350,30,55,-25,-0.010638297872340425
2011-2012,Wolverhampton Wanderers,Stephen Ward,3420,40,80,-40,-0.011695906432748537
2011-2012,Wolverhampton Wanderers,Stephen Hunt,1393,15,20,-5,-0.003589375448671931
2011-2012,Wolverhampton Wanderers,Ronald Zubar,1213,12,34,-22,-0.018136850783182192
2011-2012,Wolverhampton Wanderers,Karl Henry,2596,32,53,-21,-0.008089368258859784
2011-2012,Wolverhampton Wanderers,Christophe Berra,2698,33,61,-28,-0.010378057820607857
2011-2012,Wolverhampton Wanderers,David Edwards,1938,24,47,-23,-0.011867905056759546
2011-2012,Wolverhampton Wanderers,Richard Stearman,2407,27,56,-29,-0.012048192771084338
2011-2012,Wolverhampton Wanderers,Kevin Doyle,2348,30,59,-29,-0.012350936967632026
2011-2012,Wolverhampton Wanderers,Carl Ikeme,39,1,1,0,0.0
2011-2012,Wolverhampton Wanderers,Nenad Milijaš,741,9,20,-11,-0.014844804318488529
2011-2012,Wolverhampton Wanderers,Anthony Forde,244,2,2,0,0.0
2011-2012,Wolverhampton Wanderers,George Elokobi,294,0,7,-7,-0.023809523809523808
2011-2012,Wolverhampton Wanderers,Sylvan Ebanks-Blake,1015,10,20,-10,-0.009852216748768473
2011-2012,Wolverhampton Wanderers,Eggert Jónsson,173,1,8,-7,-0.04046242774566474
2011-2012,Wolverhampton Wanderers,Roger Johnson,2356,30,51,-21,-0.008913412563667233
2011-2012,Fulham,Mark Schwarzer,2700,31,35,-4,-0.0014814814814814814
2011-2012,Fulham,Mousa Dembélé,2940,36,37,-1,-0.0003401360544217687
2011-2012,Fulham,Pavel Pogrebnyak,949,13,13,0,0.0
2011-2012,Fulham,Aaron Hughes,1550,18,18,0,0.0
