Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2017-2018,Brighton & Hove Albion,Mathew Ryan,3420,33,49,-16,-0.004678362573099415
2017-2018,Brighton & Hove Albion,Bruno,2018,16,21,-5,-0.002477700693756194
2017-2018,Brighton & Hove Albion,Gaëtan Bong,2238,24,32,-8,-0.0035746201966041107
2017-2018,Brighton & Hove Albion,Lewis Dunk,3420,33,49,-16,-0.004678362573099415
2017-2018,Brighton & Hove Albion,Dale Stephens,3240,33,46,-13,-0.004012345679012346
2017-2018,Brighton & Hove Albion,Anthony Knockaert,2435,28,27,1,0.0004106776180698152
2017-2018,Brighton & Hove Albion,Pascal Groß,2949,33,41,-8,-0.0027127839945744322
2017-2018,Brighton & Hove Albion,Glenn Murray,2197,24,32,-8,-0.0036413290851160674
2017-2018,Brighton & Hove Albion,José Izquierdo,1987,25,29,-4,-0.0020130850528434826
2017-2018,Brighton & Hove Albion,Shane Duffy,3294,31,47,-16,-0.004857316332726169
2017-2018,Brighton & Hove Albion,Davy Pröpper,3136,30,45,-15,-0.0047831632653061226
2017-2018,Brighton & Hove Albion,Beram Kayal,739,3,13,-10,-0.013531799729364006
2017-2018,Brighton & Hove Albion,Leonardo Ulloa,279,2,4,-2,-0.007168458781362007
2017-2018,Brighton & Hove Albion,Connor Goldson,199,1,5,-4,-0.020100502512562814
2017-2018,Brighton & Hove Albion,Solly March,1841,10,25,-15,-0.008147745790331342
2017-2018,Brighton & Hove Albion,Ezequiel Schelotto,1316,15,27,-12,-0.00911854103343465
2017-2018,Brighton & Hove Albion,Jürgen Locadia,224,3,7,-4,-0.017857142857142856
2017-2018,Stoke City,Jack Butland,3150,31,59,-28,-0.008888888888888889
2017-2018,Stoke City,Moritz Bauer,1309,10,17,-7,-0.0053475935828877
2017-2018,Stoke City,Erik Pieters,2720,28,49,-21,-0.007720588235294118
2017-2018,Stoke City,Joe Allen,3142,31,53,-22,-0.007001909611712286
2017-2018,Stoke City,Kurt Zouma,2887,32,48,-16,-0.005542085209560097
2017-2018,Stoke City,Glen Johnson,549,4,14,-10,-0.018214936247723135
2017-2018,Stoke City,Ryan Shawcross,2372,26,39,-13,-0.0054806070826306915
2017-2018,Stoke City,Mame Biram Diouf,2602,28,48,-20,-0.007686395080707148
2017-2018,Stoke City,Xherdan Shaqiri,3049,29,56,-27,-0.0088553624139062
2017-2018,Stoke City,Peter Crouch,1554,18,27,-9,-0.005791505791505791
2017-2018,Stoke City,Badou Ndiaye,1140,10,16,-6,-0.005263157894736842
2017-2018,Stoke City,Stephen Ireland,128,0,4,-4,-0.03125
2017-2018,Stoke City,Charlie Adam,468,3,9,-6,-0.01282051282051282
2017-2018,Stoke City,Geoff Cameron,1525,14,30,-16,-0.010491803278688525
2017-2018,Stoke City,Darren Fletcher,2223,25,48,-23,-0.0103463787674314
2017-2018,Stoke City,Ramadan Sobhi,1233,9,30,-21,-0.0170316301703163
2017-2018,Stoke City,Tyrese Campbell,75,0,1,-1,-0.013333333333333334
2017-2018,West Bromwich Albion,Ben Foster,3330,30,53,-23,-0.006906906906906907
2017-2018,West Bromwich Albion,Allan Nyom,2308,23,38,-15,-0.006499133448873483
2017-2018,West Bromwich Albion,Kieran Gibbs,2831,23,43,-20,-0.007064641469445425
2017-2018,West Bromwich Albion,Jake Livermore,2675,22,39,-17,-0.006355140186915888
2017-2018,West Bromwich Albion,Salomón Rondón,2772,25,47,-22,-0.007936507936507936
2017-2018,West Bromwich Albion,Matt Phillips,2096,24,31,-7,-0.0033396946564885495
2017-2018,West Bromwich Albion,Chris Brunt,1923,22,23,-1,-0.0005200208008320333
2017-2018,West Bromwich Albion,James McClean,1396,8,19,-11,-0.007879656160458453
2017-2018,West Bromwich Albion,Jay Rodriguez,2824,24,40,-16,-0.0056657223796034
2017-2018,West Bromwich Albion,Craig Dawson,2511,24,38,-14,-0.005575467941059339
2017-2018,West Bromwich Albion,Ahmed Hegazi,3387,30,53,-23,-0.006790670209625037
2017-2018,West Bromwich Albion,Boaz Myhill,90,1,1,0,0.0
2017-2018,West Bromwich Albion,Hal Robson-Kanu,828,5,13,-8,-0.00966183574879227
2017-2018,West Bromwich Albion,Claudio Yacob,899,5,16,-11,-0.012235817575083427
2017-2018,West Bromwich Albion,Jonny Evans,2272,21,37,-16,-0.007042253521126761
2017-2018,West Bromwich Albion,Daniel Sturridge,547,9,8,1,0.0018281535648994515
2017-2018,West Bromwich Albion,Grzegorz Krychowiak,1643,13,29,-16,-0.009738283627510651
2017-2018,West Bromwich Albion,Nacer Chadli,215,3,3,0,0.0
2017-2018,Bournemouth,Asmir Begović,3420,45,60,-15,-0.0043859649122807015
2017-2018,Bournemouth,Simon Francis,2751,38,46,-8,-0.0029080334423845873
2017-2018,Bournemouth,Steve Cook,2766,37,52,-15,-0.005422993492407809
