Season,Team,Player Name,Accumulated Playing Time,Accumulated Goals Scored,Accumulated Goals Lost,Plus-Minus,Plus-Minus Per Min
2012-2013,Aston Villa,Brad Guzan,3240,46,59,-13,-0.004012345679012346
2012-2013,Aston Villa,Ron Vlaar,2391,39,40,-1,-0.0004182350480970305
2012-2013,Aston Villa,Ashley Westwood,2459,40,39,1,0.00040666937779585197
2012-2013,Aston Villa,Andreas Weimann,2252,35,39,-4,-0.0017761989342806395
2012-2013,Aston Villa,Eric Lichaj,1136,16,18,-2,-0.0017605633802816902
2012-2013,Aston Villa,Christian Benteke,2853,40,56,-16,-0.005608131791097091
2012-2013,Aston Villa,Nathan Baker,2011,28,31,-3,-0.0014917951268025858
2012-2013,Aston Villa,Gabby Agbonlahor,2188,32,33,-1,-0.0004570383912248629
2012-2013,Aston Villa,Joe Bennett,1894,29,43,-14,-0.007391763463569166
2012-2013,Aston Villa,Yacouba Sylla,595,15,10,5,0.008403361344537815
2012-2013,Aston Villa,Fabian Delph,1703,23,27,-4,-0.002348796241926013
2012-2013,Aston Villa,Shay Given,180,1,4,-3,-0.016666666666666666
2012-2013,Aston Villa,Derrick Williams,25,0,0,0,0.0
2012-2013,Aston Villa,Darren Bent,809,13,13,0,0.0
2012-2013,Aston Villa,Gary Gardner,19,0,0,0,0.0
2012-2013,Aston Villa,Jordan Bowery,298,2,5,-3,-0.010067114093959731
2012-2013,Aston Villa,Brett Holman,1425,12,31,-19,-0.013333333333333334
2012-2013,Aston Villa,Charles N'Zogbia,995,17,18,-1,-0.0010050251256281408
2012-2013,Sunderland,Simon Mignolet,3420,39,50,-11,-0.003216374269005848
2012-2013,Sunderland,Seb Larsson,2992,38,44,-6,-0.002005347593582888
2012-2013,Sunderland,Jack Colback,2813,34,34,0,0.0
2012-2013,Sunderland,Danny Rose,2220,23,34,-11,-0.004954954954954955
2012-2013,Sunderland,Danny Graham,1852,31,31,0,0.0
2012-2013,Sunderland,Alfred N'Diaye,1297,15,20,-5,-0.0038550501156515036
2012-2013,Sunderland,James McClean,2334,25,29,-4,-0.001713796058269066
2012-2013,Sunderland,Adam Johnson,2940,34,46,-12,-0.004081632653061225
2012-2013,Sunderland,Phil Bardsley,982,10,20,-10,-0.010183299389002037
2012-2013,Sunderland,Carlos Cuéllar,2259,24,36,-12,-0.005312084993359893
2012-2013,Sunderland,John O'Shea,2994,35,43,-8,-0.0026720106880427524
2012-2013,Sunderland,Connor Wickham,436,3,6,-3,-0.006880733944954129
2012-2013,Sunderland,Mikael Mandron,21,0,2,-2,-0.09523809523809523
2012-2013,Sunderland,Matthew Kilgallon,512,3,7,-4,-0.0078125
2012-2013,Sunderland,David Vaughan,737,12,9,3,0.004070556309362279
2012-2013,Sunderland,Kader Mangane,18,2,0,2,0.1111111111111111
2012-2013,Norwich City,John Ruddy,1342,15,20,-5,-0.0037257824143070045
2012-2013,Norwich City,Jonny Howson,2041,26,44,-18,-0.008819206271435572
2012-2013,Norwich City,Ryan Bennett,1064,15,20,-5,-0.004699248120300752
2012-2013,Norwich City,Sébastien Bassong,2962,35,39,-4,-0.0013504388926401081
2012-2013,Norwich City,Grant Holt,2571,31,40,-9,-0.003500583430571762
2012-2013,Norwich City,Russell Martin,2691,30,50,-20,-0.007432181345224823
2012-2013,Norwich City,Javier Garrido,3039,38,44,-6,-0.0019743336623889436
2012-2013,Norwich City,Wes Hoolahan,2431,28,32,-4,-0.0016454134101192926
2012-2013,Norwich City,Robert Snodgrass,3061,36,44,-8,-0.0026135249918327343
2012-2013,Norwich City,Anthony Pilkington,2156,31,33,-2,-0.0009276437847866419
2012-2013,Norwich City,Bradley Johnson,3227,38,49,-11,-0.003408738766656337
2012-2013,Norwich City,Mark Bunn,1913,23,32,-9,-0.004704652378463147
2012-2013,Norwich City,Alexander Tettey,1902,19,26,-7,-0.003680336487907466
2012-2013,Norwich City,Simeon Jackson,402,4,4,0,0.0
2012-2013,Norwich City,Leon Barnett,561,5,11,-6,-0.0106951871657754
2012-2013,Norwich City,Luciano Becchio,165,1,1,0,0.0
2012-2013,Norwich City,Steven Whittaker,1047,17,14,3,0.0028653295128939827
2012-2013,Norwich City,Elliott Bennett,938,9,19,-10,-0.010660980810234541
2012-2013,Manchester United,David de Gea,2520,57,23,34,0.013492063492063493
2012-2013,Manchester United,Paul Scholes,769,19,16,3,0.0039011703511053317
2012-2013,Manchester United,Phil Jones,1206,24,17,7,0.005804311774461028
2012-2013,Manchester United,Danny Welbeck,1293,29,11,18,0.013921113689095127
2012-2013,Manchester United,Michael Carrick,3044,72,37,35,0.011498028909329829
2012-2013,Manchester United,Shinji Kagawa,1323,33,15,18,0.013605442176870748
2012-2013,Manchester United,Rio Ferdinand,2323,58,30,28,0.012053379250968575
2012-2013,Manchester United,Patrice Evra,3060,71,35,36,0.011764705882352941
2012-2013,Manchester United,Nemanja Vidić,1618,31,13,18,0.011124845488257108
2012-2013,Manchester United,Robin van Persie,3124,73,39,34,0.01088348271446863
2012-2013,Manchester United,Javier Hernández,944,31,10,21,0.022245762711864406
2012-2013,Manchester United,Anders Lindegaard,900,23,17,6,0.006666666666666667
2012-2013,Manchester United,Alexander Büttner,382,9,6,3,0.007853403141361256
2012-2013,Manchester United,Anderson,824,22,11,11,0.013349514563106795
2012-2013,Manchester United,Jonny Evans,1903,51,21,30,0.015764582238570676
2012-2013,Manchester United,Tom Cleverley,1454,34,13,21,0.014442916093535076
2012-2013,Manchester United,Ryan Giggs,1160,26,12,14,0.01206896551724138
2012-2013,Manchester United,Antonio Valencia,2208,51,27,24,0.010869565217391304
2012-2013,Stoke City,Asmir Begović,3420,33,41,-8,-0.0023391812865497076
2012-2013,Stoke City,Jonathan Walters,3310,33,41,-8,-0.002416918429003021
2012-2013,Stoke City,Ryan Shotton,1821,16,17,-1,-0.0005491488193300384
2012-2013,Stoke City,Robert Huth,3150,32,38,-6,-0.0019047619047619048
2012-2013,Stoke City,Ryan Shawcross,3330,30,39,-9,-0.002702702702702703
2012-2013,Stoke City,Peter Crouch,2333,20,22,-2,-0.0008572653236176596
2012-2013,Stoke City,Dean Whitehead,1395,14,22,-8,-0.005734767025089606
2012-2013,Stoke City,Charlie Adam,1812,17,24,-7,-0.003863134657836645
2012-2013,Stoke City,Marc Wilson,1492,11,17,-6,-0.004021447721179625
2012-2013,Stoke City,Steven Nzonzi,3128,30,38,-8,-0.0025575447570332483
2012-2013,Stoke City,Matthew Etherington,1727,15,20,-5,-0.0028951939779965257
2012-2013,Stoke City,Kenwyne Jones,1040,14,16,-2,-0.0019230769230769232
2012-2013,Stoke City,Andy Wilkinson,1730,16,21,-5,-0.002890173410404624
2012-2013,Stoke City,Michael Owen,93,1,1,0,0.0
2012-2013,Stoke City,Cameron Jerome,1108,14,13,1,0.0009025270758122744
2012-2013,Stoke City,Michael Kightly,1193,15,14,1,0.0008382229673093043
2012-2013,Stoke City,Geoff Cameron,2635,21,34,-13,-0.004933586337760911
2012-2013,Queens Park Rangers,Robert Green,1320,13,22,-9,-0.006818181818181818
