,Season,Name,Age,Age_Squared,Min,Height,Aerial_duels_per90,Assists_per90,Goals_per90,Squad,Median Transfer Fee for previous 3 seasons (Euro Millions),market_value_in_eur,Position_central defensive midfield,Position_central defensive midfielder,Position_centre midfield,Position_centreback,Position_fullback,Position_goalkeeper,Position_side midfield,Position_striker,Position_winger,country_of_citizenship_Albania,country_of_citizenship_Algeria,country_of_citizenship_Argentina,country_of_citizenship_Belgium,country_of_citizenship_Brazil,country_of_citizenship_Burkina Faso,country_of_citizenship_Canada,country_of_citizenship_Colombia,country_of_citizenship_Cote d'Ivoire,country_of_citizenship_Curacao,country_of_citizenship_DR Congo,country_of_citizenship_Denmark,country_of_citizenship_Dominican Republic,country_of_citizenship_Egypt,country_of_citizenship_England,country_of_citizenship_France,country_of_citizenship_Germany,country_of_citizenship_Ghana,country_of_citizenship_Greece,country_of_citizenship_Guinea,country_of_citizenship_Ireland,country_of_citizenship_Israel,country_of_citizenship_Jamaica,country_of_citizenship_Japan,country_of_citizenship_Kenya,country_of_citizenship_Mali,country_of_citizenship_Morocco,country_of_citizenship_Netherlands,country_of_citizenship_New Zealand,country_of_citizenship_Nigeria,country_of_citizenship_Northern Ireland,country_of_citizenship_Norway,country_of_citizenship_Philippines,country_of_citizenship_Poland,country_of_citizenship_Portugal,country_of_citizenship_Scotland,country_of_citizenship_Senegal,country_of_citizenship_Serbia,country_of_citizenship_Slovakia,country_of_citizenship_Spain,country_of_citizenship_Sweden,country_of_citizenship_Switzerland,country_of_citizenship_Tunisia,country_of_citizenship_Ukraine,country_of_citizenship_United States,country_of_citizenship_Uruguay,country_of_citizenship_Venezuela,country_of_citizenship_Wales,country_of_citizenship_Zambia,foot_Both,foot_Left,foot_Right
0,2019-2020,Enda Stevens,29,841,3345.0,183.0,0.8333333333333333,0.11,0.05,Sheffield United,0.175,5500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2020-2021,Enda Stevens,30,900,2700.0,183.0,1.1666666666666667,0.03,0.0,Sheffield United,0.175,3500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2017-2018,Joe Allen,27,729,3139.0,168.0,1.0315186246418335,0.17,0.06,Stoke City,3.35,18000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,2019-2020,Daniel Podence,23,529,289.0,165.0,0.0,0.0,0.31,Wolverhampton Wanderers,3.4,12000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2019-2020,Daniel Podence,23,529,289.0,165.0,0.0,0.0,0.31,Wolverhampton Wanderers,3.4,12000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2020-2021,Daniel Podence,24,576,1661.0,165.0,0.3783783783783784,0.11,0.16,Wolverhampton Wanderers,3.45,25000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2020-2021,Daniel Podence,24,576,1661.0,165.0,0.3783783783783784,0.11,0.16,Wolverhampton Wanderers,3.45,25000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2017-2018,Alex McCarthy,27,729,1620.0,193.0,0.5555555555555556,0.0,0.0,Southampton FC,15.25,2500000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,2017-2018,Alex McCarthy,27,729,1620.0,193.0,0.5555555555555556,0.0,0.0,Southampton FC,15.25,2500000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,2018-2019,Alex McCarthy,28,784,2250.0,193.0,0.64,0.0,0.0,Southampton FC,13.7,5000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2018-2019,Alex McCarthy,28,784,2250.0,193.0,0.64,0.0,0.0,Southampton FC,13.7,5000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2019-2020,Alex McCarthy,29,841,2520.0,193.0,0.5714285714285714,0.0,0.0,Southampton FC,13.7,4000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,2019-2020,Alex McCarthy,29,841,2520.0,193.0,0.5714285714285714,0.0,0.0,Southampton FC,13.7,4000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,2020-2021,Alex McCarthy,30,900,2700.0,193.0,0.1333333333333333,0.0,0.0,Southampton FC,11.9,5000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,2020-2021,Alex McCarthy,30,900,2700.0,193.0,0.1333333333333333,0.0,0.0,Southampton FC,11.9,5000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,2020-2021,Alphonse Areola,27,729,3240.0,192.0,0.3611111111111111,0.0,0.0,Fulham FC,2.675,17000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,2020-2021,Patrick Bamford,26,676,3050.0,188.0,1.3864306784660767,0.21,0.5,Leeds United,0.0,22000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,2020-2021,Patrick Bamford,26,676,3050.0,188.0,1.3864306784660767,0.21,0.5,Leeds United,0.0,22000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,2017-2018,Cédric Soares,25,625,2794.0,169.0,0.967741935483871,0.1,0.0,Southampton FC,15.25,15000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,2018-2019,Cédric Soares,26,676,1495.0,169.0,2.704611549646863,0.12,0.06,Southampton FC,13.7,12000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,2019-2020,Cédric Soares,27,729,1555.0,169.0,1.9556650246305416,0.07,0.36,Arsenal FC,7.85,8000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2020-2021,Cédric Soares,28,784,746.0,169.0,0.8433734939759036,0.12,0.0,Arsenal FC,3.5,6000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2017-2018,Kiko Femenía,26,676,1713.0,174.0,0.5263157894736842,0.05,0.05,Watford FC,4.41,5000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
37,2018-2019,Kiko Femenía,27,729,2049.0,174.0,0.5263157894736842,0.04,0.04,Watford FC,4.7,5000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
38,2019-2020,Kiko Femenía,28,784,2237.0,174.0,0.5220883534136547,0.0,0.0,Watford FC,2.95,4800000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
40,2018-2019,Artur Boruc,38,1444,1080.0,193.0,0.1666666666666666,0.0,0.0,AFC Bournemouth,3.5,1000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2018-2019,Artur Boruc,38,1444,1080.0,193.0,0.1666666666666666,0.0,0.0,AFC Bournemouth,3.5,1000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,2019-2020,Ahmed Elmohamady,31,961,1031.0,182.0,2.5217391304347827,0.09,0.09,Aston Villa,3.0,2000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2020-2021,Ahmed Elmohamady,32,1024,839.0,182.0,1.935483870967741,0.0,0.0,Aston Villa,2.885,1500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,2018-2019,Diogo Jota,21,441,2355.0,178.0,1.0305343511450382,0.19,0.34,Wolverhampton Wanderers,2.55,35000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2019-2020,Diogo Jota,22,484,2284.0,178.0,1.1023622047244095,0.04,0.28,Wolverhampton Wanderers,3.4,28000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,2020-2021,Diogo Jota,23,529,1112.0,178.0,1.129032258064516,0.0,0.73,Liverpool FC,9.6,45000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,2017-2018,Danny Welbeck,26,676,1194.0,185.0,1.7293233082706767,0.15,0.38,Arsenal FC,14.0,15000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,2017-2018,Danny Welbeck,26,676,1194.0,185.0,1.7293233082706767,0.15,0.38,Arsenal FC,14.0,15000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,2017-2018,Danny Welbeck,26,676,1194.0,185.0,1.7293233082706767,0.15,0.38,Arsenal FC,14.0,15000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,2018-2019,Danny Welbeck,27,729,153.0,185.0,4.11764705882353,0.59,0.59,Arsenal FC,11.0,12000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2018-2019,Danny Welbeck,27,729,153.0,185.0,4.11764705882353,0.59,0.59,Arsenal FC,11.0,12000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2018-2019,Danny Welbeck,27,729,153.0,185.0,4.11764705882353,0.59,0.59,Arsenal FC,11.0,12000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,2019-2020,Danny Welbeck,28,784,822.0,185.0,3.076923076923077,0.0,0.22,Watford FC,2.95,5500000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,2019-2020,Danny Welbeck,28,784,822.0,185.0,3.076923076923077,0.0,0.22,Watford FC,2.95,5500000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,2019-2020,Danny Welbeck,28,784,822.0,185.0,3.076923076923077,0.0,0.22,Watford FC,2.95,5500000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,2020-2021,Danny Welbeck,29,841,1545.0,185.0,1.2209302325581397,0.06,0.35,Brighton & Hove Albion,1.7,4000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,2020-2021,Danny Welbeck,29,841,1545.0,185.0,1.2209302325581397,0.06,0.35,Brighton & Hove Albion,1.7,4000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,2020-2021,Danny Welbeck,29,841,1545.0,185.0,1.2209302325581397,0.06,0.35,Brighton & Hove Albion,1.7,4000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,2018-2019,Nathaniel Mendez-Laing,26,676,985.0,178.0,2.110091743119266,0.09,0.37,Cardiff City,0.0,3000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,2018-2019,Nathaniel Mendez-Laing,26,676,985.0,178.0,2.110091743119266,0.09,0.37,Cardiff City,0.0,3000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,2017-2018,Tom Cleverley,27,729,1902.0,175.0,1.1374407582938388,0.09,0.05,Watford FC,4.41,9000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,2018-2019,Tom Cleverley,28,784,478.0,175.0,0.7547169811320755,0.0,0.19,Watford FC,4.7,7000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,2019-2020,Tom Cleverley,29,841,971.0,175.0,0.8333333333333333,0.0,0.09,Watford FC,2.95,4800000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,2020-2021,Mohammed Salisu,21,441,844.0,191.0,2.234042553191489,0.0,0.0,Southampton FC,11.9,10000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,2020-2021,Mohammed Salisu,21,441,844.0,191.0,2.234042553191489,0.0,0.0,Southampton FC,11.9,10000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,2018-2019,Eddie Nketiah,19,361,67.0,175.0,0.0,0.0,1.34,Arsenal FC,11.0,8000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,2018-2019,Eddie Nketiah,19,361,67.0,175.0,0.0,0.0,1.34,Arsenal FC,11.0,8000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,2019-2020,Eddie Nketiah,20,400,633.0,175.0,2.4035087719298245,0.0,0.28,Arsenal FC,7.85,11000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,2019-2020,Eddie Nketiah,20,400,633.0,175.0,2.4035087719298245,0.0,0.28,Arsenal FC,7.85,11000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,2020-2021,Eddie Nketiah,21,441,423.0,175.0,1.4893617021276595,0.21,0.43,Arsenal FC,3.5,16000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,2020-2021,Eddie Nketiah,21,441,423.0,175.0,1.4893617021276595,0.21,0.43,Arsenal FC,3.5,16000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,2020-2021,Bertrand Traoré,24,576,2317.0,177.0,1.245136186770428,0.23,0.27,Aston Villa,2.885,20000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,2020-2021,Bertrand Traoré,24,576,2317.0,177.0,1.245136186770428,0.23,0.27,Aston Villa,2.885,20000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,2019-2020,Mason Mount,20,400,2867.0,175.0,0.3134796238244514,0.16,0.22,Chelsea FC,9.9,40500000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,2019-2020,Mason Mount,20,400,2867.0,175.0,0.3134796238244514,0.16,0.22,Chelsea FC,9.9,40500000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,2020-2021,Mason Mount,21,441,2890.0,175.0,0.6542056074766355,0.16,0.19,Chelsea FC,9.0,75000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,2020-2021,Mason Mount,21,441,2890.0,175.0,0.6542056074766355,0.16,0.19,Chelsea FC,9.0,75000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,2017-2018,Kurt Zouma,22,484,2888.0,190.0,3.395638629283489,0.0,0.03,Stoke City,3.35,15000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,2017-2018,Kurt Zouma,22,484,2888.0,190.0,3.395638629283489,0.0,0.03,Stoke City,3.35,15000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,2018-2019,Kurt Zouma,23,529,2612.0,190.0,3.3793103448275863,0.07,0.07,Everton FC,9.0,25000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,2018-2019,Kurt Zouma,23,529,2612.0,190.0,3.3793103448275863,0.07,0.07,Everton FC,9.0,25000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,2019-2020,Kurt Zouma,24,576,2344.0,190.0,4.038461538461538,0.0,0.0,Chelsea FC,9.9,28000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,2019-2020,Kurt Zouma,24,576,2344.0,190.0,4.038461538461538,0.0,0.0,Chelsea FC,9.9,28000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,2020-2021,Kurt Zouma,25,625,2029.0,190.0,3.733333333333333,0.0,0.22,Chelsea FC,9.0,32000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
