Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Home Sub Lineup,Away Starting Lineup,Away Bench Lineup,Away Sub Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings
2021-2022,Southampton,Tottenham Hotspur,1,1,"['Fraser Forster', 'Kyle Walker-Peters', 'Shane Long', 'James Ward-Prowse', 'Adam Armstrong', 'Romain Perraud', 'Stuart Armstrong', 'Mohammed Salisu', 'Ibrahima Diallo', 'Jan Bednarek', 'Yan Valery']","['Willy Caballero', 'Oriol Romeu', 'Nathan Redmond', 'Thierry Small', 'Armando Broja', 'Nathan Tella', 'Mohamed Elyounoussi', 'Theo Walcott', 'Dynel Simeu']","[[71, 'Armando Broja', 'Shane Long'], [83, 'Nathan Redmond', 'Adam Armstrong']]","['Hugo Lloris', 'Sergio Reguilón', 'Pierre Højbjerg', 'Davinson Sánchez', 'Son Heung-min', 'Harry Winks', 'Harry Kane', 'Emerson', 'Eric Dier', 'Dele Alli', 'Ben Davies']","['Pierluigi Gollini', 'Matt Doherty', 'Bryan', 'Joe Rodon', 'Japhet Tanganga', 'Lucas Moura', 'Tanguy Ndombele', 'Oliver Skipp', 'Harvey White']","[[46, 'Matt Doherty', 'Sergio Reguilón'], [62, 'Lucas Moura', 'Dele Alli'], [77, 'Bryan', 'Emerson']]",[25],[],"[[71, 'Armando Broja', 'Shane Long'], [83, 'Nathan Redmond', 'Adam Armstrong']]","[[46, 'Matt Doherty', 'Sergio Reguilón'], [62, 'Lucas Moura', 'Dele Alli'], [77, 'Bryan', 'Emerson']]"
2021-2022,Crystal Palace,Norwich City,3,0,"['Vicente Guaita', 'Joel Ward', 'Tyrick Mitchell', 'Marc Guéhi', 'Cheikhou Kouyaté', 'Jordan Ayew', 'Will Hughes', 'Jean-Philippe Mateta', 'Jeffrey Schlupp', 'Joachim Andersen', 'Odsonne Édouard']","['Jack Butland', 'Remi Matthews', 'Luka Milivojević', 'James Tomkins', 'Christian Benteke', 'Martin Kelly', 'Nathan Ferguson', 'Jaïro Riedewald']","[[73, 'Luka Milivojević', 'Will Hughes'], [81, 'Christian Benteke', 'Jean-Philippe Mateta'], [83, 'James Tomkins', 'Joachim Andersen']]","['Angus Gunn', 'Sam Byram', 'Ben Gibson', 'Billy Gilmour', 'Przemysław Płacheta', 'Christos Tzolis', 'Jakob Sørensen', 'Pierre Lees-Melou', 'Kenny McLean', 'Dimitris Giannoulis', 'Adam Idah']","['Michael McGovern', 'Jon McCracken', 'Kieran Dowell', 'Ozan Kabak', 'Brandon Williams', 'Josh Sargent', 'Bali Mumba', 'Jon Rowe']","[[46, 'Brandon Williams', 'Dimitris Giannoulis'], [68, 'Jon Rowe', 'Christos Tzolis'], [81, 'Josh Sargent', 'Przemysław Płacheta']]","[38, 42]",[],"[[73, 'Luka Milivojević', 'Will Hughes'], [81, 'Christian Benteke', 'Jean-Philippe Mateta'], [83, 'James Tomkins', 'Joachim Andersen']]","[[46, 'Brandon Williams', 'Dimitris Giannoulis'], [68, 'Jon Rowe', 'Christos Tzolis'], [81, 'Josh Sargent', 'Przemysław Płacheta']]"
2021-2022,Watford,West Ham United,1,4,"['Daniel Bachmann', 'Joshua King', 'Adam Masina', 'Craig Cathcart', 'Ozan Tufan', 'Moussa Sissoko', 'Kiko Femenía', 'Emmanuel Dennis', 'Cucho', 'Francisco Sierralta', 'Juraj Kucka']","['Vincent Angelini', 'Imran Louza', 'João Pedro', 'Ken Sema', 'Dan Gosling', 'Ashley Fletcher', 'James Morris', 'Kamil Conteh']","[[40, 'Imran Louza', 'Kiko Femenía'], [46, 'João Pedro', 'Cucho'], [62, 'Ken Sema', 'Ozan Tufan']]","['Łukasz Fabiański', 'Vladimír Coufal', 'Michail Antonio', 'Manuel Lanzini', 'Craig Dawson', 'Mark Noble', 'Jarrod Bowen', 'Saïd Benrahma', 'Issa Diop', 'Tomáš Souček', 'Ben Johnson']","['Alphonse Areola', 'Andriy Yarmolenko', 'Nikola Vlašić', 'Ryan Fredericks', 'Arthur Masuaku', 'Alex Král', 'Armstrong Okoflex', 'Ajibola Alese', 'Harrison Ashby']","[[82, 'Arthur Masuaku', 'Ben Johnson'], [85, 'Nikola Vlašić', 'Saïd Benrahma'], [90, 'Alex Král', 'Manuel Lanzini']]",[4],"[27, 29, 90]","[[40, 'Imran Louza', 'Kiko Femenía'], [46, 'João Pedro', 'Cucho'], [62, 'Ken Sema', 'Ozan Tufan']]","[[82, 'Arthur Masuaku', 'Ben Johnson'], [85, 'Nikola Vlašić', 'Saïd Benrahma'], [90, 'Alex Král', 'Manuel Lanzini']]"
2021-2022,Leicester City,Liverpool,1,0,"['Kasper Schmeichel', 'Jamie Vardy', 'James Maddison', 'Kelechi Iheanacho', 'Daniel Amartey', 'Hamza Choudhury', 'Kiernan Dewsbury-Hall', 'Wilfred Ndidi', 'Timothy Castagne', 'Luke Thomas', 'Boubakary Soumaré']","['Danny Ward', 'Youri Tielemans', 'Marc Albrighton', 'Ayoze Pérez', 'Jannik Vestergaard', 'Ademola Lookman', 'Vontae Daley Campbell', 'Benjamin Nelson', 'Kasey McAteer']","[[56, 'Ademola Lookman', 'Hamza Choudhury'], [56, 'Youri Tielemans', 'Kelechi Iheanacho'], [68, 'Marc Albrighton', 'James Maddison']]","['Alisson', 'Fabinho', 'Virgil van Dijk', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Alex Oxlade-Chamberlain', 'Diogo Jota', 'Kostas Tsimikas', 'Joël Matip', 'Trent Alexander-Arnold']","['Caoimhín Kelleher', 'Ibrahima Konaté', 'James Milner', 'Naby Keïta', 'Roberto Firmino', 'Joe Gomez', 'Curtis Jones', 'Owen Beck', 'Neco Williams']","[[55, 'Naby Keïta', 'Alex Oxlade-Chamberlain'], [64, 'James Milner', 'Fabinho'], [70, 'Roberto Firmino', 'Jordan Henderson']]",[59],[],"[[56, 'Ademola Lookman', 'Hamza Choudhury'], [56, 'Youri Tielemans', 'Kelechi Iheanacho'], [68, 'Marc Albrighton', 'James Maddison']]","[[55, 'Naby Keïta', 'Alex Oxlade-Chamberlain'], [64, 'James Milner', 'Fabinho'], [70, 'Roberto Firmino', 'Jordan Henderson']]"
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Home Sub Lineup,Away Starting Lineup,Away Bench Lineup,Away Sub Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings
2021-2022,Chelsea,Brighton & Hove Albion,1,1,"['Edouard Mendy', 'Antonio Rüdiger', 'Andreas Christensen', 'Jorginho', 'Mateo Kovačić', 'Romelu Lukaku', 'Christian Pulisic', 'Mason Mount', 'Callum Hudson-Odoi', 'Reece James', 'César Azpilicueta']","['Kepa Arrizabalaga', 'Marcos Alonso', ""N'Golo Kanté"", 'Trevoh Chalobah', 'Saúl Ñíguez', 'Ross Barkley', 'Hakim Ziyech', 'Kai Havertz', 'Malang Sarr']","[[27, 'Marcos Alonso', 'Reece James'], [46, 'Trevoh Chalobah', 'Andreas Christensen'], [67, ""N'Golo Kanté"", 'Callum Hudson-Odoi']]","['Robert Sánchez', 'Tariq Lamptey', 'Marc Cucurella', 'Yves Bissouma', 'Neal Maupay', 'Alexis Mac Allister', 'Adam Lallana', 'Jakub Moder', 'Solly March', 'Dan Burn', 'Joël Veltman']","['Jason Steele', 'Adam Webster', 'Enock Mwepu', 'Pascal Groß', 'Steven Alzate', 'Danny Welbeck', 'Shane Duffy', 'Taylor Richards', 'Evan Ferguson']","[[66, 'Enock Mwepu', 'Tariq Lamptey'], [80, 'Danny Welbeck', 'Alexis Mac Allister'], [88, 'Steven Alzate', 'Jakub Moder']]",[28],[90],"[[27, 'Marcos Alonso', 'Reece James'], [46, 'Trevoh Chalobah', 'Andreas Christensen'], [67, ""N'Golo Kanté"", 'Callum Hudson-Odoi']]","[[66, 'Enock Mwepu', 'Tariq Lamptey'], [80, 'Danny Welbeck', 'Alexis Mac Allister'], [88, 'Steven Alzate', 'Jakub Moder']]"
2021-2022,Brentford,Manchester City,0,1,"['Álvaro Fernández', 'Dominic Thompson', 'Ethan Pinnock', 'Mathias Jensen', 'Yoane Wissa', 'Frank Onyeka', 'Ivan Toney', 'Pontus Jansson', 'Shandon Baptiste', 'Mads Bech Sørensen', 'Mads Roerslev']","['Matthew Cox', 'Sergi Canós', 'Marcus Forss', 'Saman Ghoddos', 'Myles Peart-Harris', 'Mads Bidstrup', 'Finley Stevens']","[[69, 'Sergi Canós', 'Yoane Wissa'], [75, 'Mads Bidstrup', 'Frank Onyeka'], [82, 'Saman Ghoddos', 'Dominic Thompson']]","['Ederson', 'Rúben Dias', 'Nathan Aké', 'Gabriel Jesus', 'Jack Grealish', 'Aymeric Laporte', 'Kevin De Bruyne', 'Bernardo Silva', 'Fernandinho', 'João Cancelo', 'Phil Foden']","['Zack Steffen', 'Scott Carson', 'Raheem Sterling', 'İlkay Gündoğan', 'Oleksandr Zinchenko', 'Riyad Mahrez', 'Luke Mbete-Tatu', 'Cole Palmer']",[],[],[16],"[[69, 'Sergi Canós', 'Yoane Wissa'], [75, 'Mads Bidstrup', 'Frank Onyeka'], [82, 'Saman Ghoddos', 'Dominic Thompson']]",[]
2021-2022,Manchester United,Burnley,3,1,"['David de Gea', 'Eric Bailly', 'Harry Maguire', 'Cristiano Ronaldo', 'Mason Greenwood', 'Edinson Cavani', 'Luke Shaw', 'Jadon Sancho', 'Aaron Wan-Bissaka', 'Nemanja Matić', 'Scott McTominay']","['Dean Henderson', 'Marcus Rashford', 'Jesse Lingard', 'Fred', 'Raphaël Varane', 'Diogo Dalot', 'Alex Telles', 'Donny van de Beek', 'Anthony Elanga']","[[66, 'Raphaël Varane', 'Eric Bailly'], [81, 'Diogo Dalot', 'Mason Greenwood'], [90, 'Fred', 'Cristiano Ronaldo']]","['Wayne Hennessey', 'Matthew Lowton', 'Charlie Taylor', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Chris Wood', 'Dwight McNeil', 'Aaron Lennon', 'Ashley Westwood']","['Will Norris', 'Dale Stephens', 'Nathan Collins', 'Erik Pieters', 'Phil Bardsley', 'Matěj Vydra', 'Bobby Thomas']","[[58, 'Dale Stephens', 'Jack Cork'], [74, 'Matěj Vydra', 'Aaron Lennon'], [84, 'Erik Pieters', 'Dwight McNeil']]","[8, 35]",[38],"[[66, 'Raphaël Varane', 'Eric Bailly'], [81, 'Diogo Dalot', 'Mason Greenwood'], [90, 'Fred', 'Cristiano Ronaldo']]","[[58, 'Dale Stephens', 'Jack Cork'], [74, 'Matěj Vydra', 'Aaron Lennon'], [84, 'Erik Pieters', 'Dwight McNeil']]"
2021-2022,Arsenal,Manchester City,1,2,"['Aaron Ramsdale', 'Kieran Tierney', 'Ben White', 'Thomas Partey', 'Gabriel Dos Santos', 'Bukayo Saka', 'Martin Ødegaard', 'Alexandre Lacazette', 'Takehiro Tomiyasu', 'Granit Xhaka', 'Martinelli']","['Bernd Leno', 'Emile Smith Rowe', 'Ainsley Maitland-Niles', 'Rob Holding', 'Cédric Soares', 'Nicolas Pépé', 'Nuno Tavares', 'Albert Sambi Lokonga', 'Mohamed Elneny']","[[63, 'Rob Holding', 'Martin Ødegaard'], [71, 'Emile Smith Rowe', 'Alexandre Lacazette'], [84, 'Mohamed Elneny', 'Bukayo Saka']]","['Ederson', 'Rúben Dias', 'Nathan Aké', 'Raheem Sterling', 'Gabriel Jesus', 'Aymeric Laporte', 'Rodri', 'Kevin De Bruyne', 'Bernardo Silva', 'Riyad Mahrez', 'João Cancelo']","['Zack Steffen', 'Kyle Walker', 'İlkay Gündoğan', 'Jack Grealish', 'Fernandinho', 'Kayky Chagas', 'Luke Mbete-Tatu', 'Cole Palmer', 'James Mcatee']","[[63, 'İlkay Gündoğan', 'Gabriel Jesus']]",[31],[90],"[[63, 'Rob Holding', 'Martin Ødegaard'], [71, 'Emile Smith Rowe', 'Alexandre Lacazette'], [84, 'Mohamed Elneny', 'Bukayo Saka']]","[[63, 'İlkay Gündoğan', 'Gabriel Jesus']]"
2021-2022,Watford,Tottenham Hotspur,0,1,"['Daniel Bachmann', 'William Troost-Ekong', 'Imran Louza', 'Joshua King', 'Adam Masina', 'Ken Sema', 'Craig Cathcart', 'Moussa Sissoko', 'Emmanuel Dennis', 'Francisco Sierralta', 'Juraj Kucka']","['Vincent Angelini', 'Jeremy Ngakia', 'Tom Cleverley', 'João Pedro', 'Dan Gosling', 'Ashley Fletcher', 'Ozan Tufan', 'Cucho', 'James Morris']","[[46, 'João Pedro', 'Emmanuel Dennis'], [90, 'Tom Cleverley', 'Imran Louza'], [90, 'Cucho', 'Ken Sema']]","['Hugo Lloris', 'Sergio Reguilón', 'Pierre Højbjerg', 'Davinson Sánchez', 'Son Heung-min', 'Harry Kane', 'Emerson', 'Eric Dier', 'Lucas Moura', 'Oliver Skipp', 'Ben Davies']","['Pierluigi Gollini', 'Matt Doherty', 'Harry Winks', 'Bryan', 'Joe Rodon', 'Giovani Lo Celso', 'Dele Alli', 'Japhet Tanganga', 'Tanguy Ndombele']","[[70, 'Harry Winks', 'Oliver Skipp'], [83, 'Giovani Lo Celso', 'Sergio Reguilón'], [90, 'Bryan', 'Lucas Moura']]",[],[90],"[[46, 'João Pedro', 'Emmanuel Dennis'], [90, 'Tom Cleverley', 'Imran Louza'], [90, 'Cucho', 'Ken Sema']]","[[70, 'Harry Winks', 'Oliver Skipp'], [83, 'Giovani Lo Celso', 'Sergio Reguilón'], [90, 'Bryan', 'Lucas Moura']]"
2021-2022,Crystal Palace,West Ham United,2,3,"['Vicente Guaita', 'Joel Ward', 'Tyrick Mitchell', 'Luka Milivojević', 'Marc Guéhi', 'Jordan Ayew', 'Will Hughes', 'Jeffrey Schlupp', 'Joachim Andersen', 'Christian Benteke', 'Odsonne Édouard']","['Jack Butland', 'Remi Matthews', 'James Tomkins', 'Michael Olise', 'Eberechi Eze', 'Jean-Philippe Mateta', 'Martin Kelly', 'Jaïro Riedewald']","[[60, 'Jean-Philippe Mateta', 'Luka Milivojević'], [68, 'Michael Olise', 'Christian Benteke'], [75, 'Jaïro Riedewald', 'Will Hughes']]","['Łukasz Fabiański', 'Vladimír Coufal', 'Michail Antonio', 'Manuel Lanzini', 'Craig Dawson', 'Jarrod Bowen', 'Saïd Benrahma', 'Issa Diop', 'Tomáš Souček', 'Ben Johnson', 'Declan Rice']","['Alphonse Areola', 'Andriy Yarmolenko', 'Nikola Vlašić', 'Mark Noble', 'Ryan Fredericks', 'Arthur Masuaku', 'Alex Král', 'Armstrong Okoflex', 'Ajibola Alese']","[[46, 'Arthur Masuaku', 'Ben Johnson'], [71, 'Nikola Vlašić', 'Saïd Benrahma'], [89, 'Mark Noble', 'Manuel Lanzini']]","[83, 90]","[22, 25]","[[60, 'Jean-Philippe Mateta', 'Luka Milivojević'], [68, 'Michael Olise', 'Christian Benteke'], [75, 'Jaïro Riedewald', 'Will Hughes']]","[[46, 'Arthur Masuaku', 'Ben Johnson'], [71, 'Nikola Vlašić', 'Saïd Benrahma'], [89, 'Mark Noble', 'Manuel Lanzini']]"
2021-2022,Leeds United,Burnley,3,1,"['Illan Meslier', 'Luke Ayling', 'Junior Firpo', 'Adam Forshaw', 'Robin Koch', 'Raphinha', 'Tyler Roberts', 'Diego Llorente', 'Stuart Dallas', 'Jack Harrison', 'Mateusz Klich']","['Kristoffer Klaesson', 'Daniel James', 'Lewis Bate', 'Joe Gelhardt', 'Leo Fuhr Hjelde', 'Crysencio Summerville', 'Sam Greenwood', 'Jack Jenkins', 'Kris Moore']","[[58, 'Joe Gelhardt', 'Tyler Roberts'], [62, 'Daniel James', 'Jack Harrison']]","['Wayne Hennessey', 'Matthew Lowton', 'Charlie Taylor', 'Jack Cork', 'James Tarkowski', 'Ben Mee', 'Jóhann Berg Guðmundsson', 'Chris Wood', 'Dwight McNeil', 'Aaron Lennon', 'Ashley Westwood']","['Will Norris', 'Dale Stephens', 'Jay Rodriguez', 'Maxwel Cornet', 'Nathan Collins', 'Erik Pieters', 'Phil Bardsley', 'Matěj Vydra', 'Kevin Long']","[[46, 'Maxwel Cornet', 'Jóhann Berg Guðmundsson'], [80, 'Jay Rodriguez', 'Aaron Lennon'], [84, 'Matěj Vydra', 'Chris Wood']]","[39, 77, 90]",[54],"[[58, 'Joe Gelhardt', 'Tyler Roberts'], [62, 'Daniel James', 'Jack Harrison']]","[[46, 'Maxwel Cornet', 'Jóhann Berg Guðmundsson'], [80, 'Jay Rodriguez', 'Aaron Lennon'], [84, 'Matěj Vydra', 'Chris Wood']]"
2021-2022,Brentford,Aston Villa,2,1,"['Álvaro Fernández', 'Ethan Pinnock', 'Christian Nørgaard', 'Sergi Canós', 'Mathias Jensen', 'Yoane Wissa', 'Frank Onyeka', 'Ivan Toney', 'Pontus Jansson', 'Mads Bech Sørensen', 'Mads Roerslev']","['Matthew Cox', 'Dominic Thompson', 'Marcus Forss', 'Saman Ghoddos', 'Kristoffer Ajer', 'Shandon Baptiste', 'Vitaly Janelt', 'Mads Bidstrup', 'Finley Stevens']","[[54, 'Saman Ghoddos', 'Sergi Canós'], [61, 'Shandon Baptiste', 'Mathias Jensen'], [80, 'Vitaly Janelt', 'Frank Onyeka']]","['Emiliano Martínez', 'Matty Cash', 'Matt Targett', 'Ezri Konsa', 'Douglas Luiz', 'John McGinn', 'Emi Buendía', 'Bertrand Traoré', 'Danny Ings', 'Kortney Hause', 'Jacob Ramsey']","['Jed Steer', 'Morgan Sanson', 'Trézéguet', 'Anwar El Ghazi', 'Jaden Philogene Bidace', 'Carney Chukwuemeka', 'Cameron Archer', 'Tim Iroegbunam', 'Josh Feeney']","[[69, 'Morgan Sanson', 'Jacob Ramsey'], [80, 'Trézéguet', 'Bertrand Traoré']]","[42, 83]",[16],"[[54, 'Saman Ghoddos', 'Sergi Canós'], [61, 'Shandon Baptiste', 'Mathias Jensen'], [80, 'Vitaly Janelt', 'Frank Onyeka']]","[[69, 'Morgan Sanson', 'Jacob Ramsey'], [80, 'Trézéguet', 'Bertrand Traoré']]"
2021-2022,Everton,Brighton & Hove Albion,2,3,"['Jordan Pickford', 'Jonjoe Kenny', 'Mason Holgate', 'Michael Keane', 'Allan', 'Dominic Calvert-Lewin', 'Demarai Gray', 'Abdoulaye Doucouré', 'Ben Godfrey', 'Séamus Coleman', 'Anthony Gordon']","['Asmir Begović', 'Lucas Digne', 'Alex Iwobi', 'André Gomes', 'Jean-Philippe Gbamin', 'Salomón Rondón', 'Ellis Simms', 'Lewis Dobbin', 'Tyler Onyango']","[[76, 'Salomón Rondón', 'Jonjoe Kenny'], [87, 'André Gomes', 'Allan']]","['Robert Sánchez', 'Marc Cucurella', 'Adam Webster', 'Yves Bissouma', 'Neal Maupay', 'Alexis Mac Allister', 'Leandro Trossard', 'Enock Mwepu', 'Adam Lallana', 'Dan Burn', 'Joël Veltman']","['Jason Steele', 'Tariq Lamptey', 'Pascal Groß', 'Jakub Moder', 'Steven Alzate', 'Danny Welbeck', 'Solly March', 'Shane Duffy', 'Taylor Richards']","[[61, 'Tariq Lamptey', 'Adam Lallana'], [61, 'Shane Duffy', 'Joël Veltman'], [81, 'Jakub Moder', 'Leandro Trossard']]","[53, 76]","[3, 21, 71]","[[76, 'Salomón Rondón', 'Jonjoe Kenny'], [87, 'André Gomes', 'Allan']]","[[61, 'Tariq Lamptey', 'Adam Lallana'], [61, 'Shane Duffy', 'Joël Veltman'], [81, 'Jakub Moder', 'Leandro Trossard']]"
2021-2022,Chelsea,Liverpool,2,2,"['Edouard Mendy', 'Antonio Rüdiger', 'Marcos Alonso', 'Thiago Silva', ""N'Golo Kanté"", 'Mateo Kovačić', 'Christian Pulisic', 'Trevoh Chalobah', 'Mason Mount', 'César Azpilicueta', 'Kai Havertz']","['Kepa Arrizabalaga', 'Jorginho', 'Saúl Ñíguez', 'Ross Barkley', 'Callum Hudson-Odoi', 'Hakim Ziyech', 'Malang Sarr', 'Harvey Vale', 'Lewis Hall']","[[70, 'Jorginho', 'Trevoh Chalobah'], [79, 'Callum Hudson-Odoi', 'Kai Havertz']]","['Caoimhín Kelleher', 'Fabinho', 'Virgil van Dijk', 'Ibrahima Konaté', 'James Milner', 'Sadio Mané', 'Mohamed Salah', 'Jordan Henderson', 'Diogo Jota', 'Kostas Tsimikas', 'Trent Alexander-Arnold']","['Adrián', 'Marcelo Pitaluga', 'Naby Keïta', 'Joe Gomez', 'Alex Oxlade-Chamberlain', 'Curtis Jones', 'Owen Beck', 'Neco Williams', 'Tyler Morton']","[[69, 'Alex Oxlade-Chamberlain', 'Diogo Jota'], [69, 'Naby Keïta', 'James Milner'], [90, 'Curtis Jones', 'Sadio Mané']]","[42, 45]","[9, 26]","[[70, 'Jorginho', 'Trevoh Chalobah'], [79, 'Callum Hudson-Odoi', 'Kai Havertz']]","[[69, 'Alex Oxlade-Chamberlain', 'Diogo Jota'], [69, 'Naby Keïta', 'James Milner'], [90, 'Curtis Jones', 'Sadio Mané']]"
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Home Sub Lineup,Away Starting Lineup,Away Bench Lineup,Away Sub Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings
2021-2022,Manchester United,Wolverhampton Wanderers,0,1,"['David de Gea', 'Phil Jones', 'Cristiano Ronaldo', 'Mason Greenwood', 'Raphaël Varane', 'Edinson Cavani', 'Luke Shaw', 'Jadon Sancho', 'Aaron Wan-Bissaka', 'Nemanja Matić', 'Scott McTominay']","['Dean Henderson', 'Marcus Rashford', 'Jesse Lingard', 'Fred', 'Bruno Fernandes', 'Diogo Dalot', 'Alex Telles', 'Donny van de Beek', 'Anthony Elanga']","[[60, 'Bruno Fernandes', 'Mason Greenwood'], [76, 'Marcus Rashford', 'Jadon Sancho'], [84, 'Anthony Elanga', 'Aaron Wan-Bissaka']]","['José Sá', 'Fernando Marçal', 'Rúben Neves', 'Raúl Jiménez', 'Daniel Podence', 'Francisco Trincão', 'Conor Coady', 'Nélson Semedo', 'Max Kilman', 'Romain Saïss', 'João Moutinho']","['John Ruddy', 'Ki-Jana Hoever', 'Rayan Aït Nouri', 'Bruno Jordão', 'Fábio Silva', 'Leander Dendoncker', 'Adama Traoré', 'Luke Cundle', 'Hugo Bueno']","[[66, 'Adama Traoré', 'Francisco Trincão'], [81, 'Fábio Silva', 'Raúl Jiménez'], [88, 'Leander Dendoncker', 'Daniel Podence']]",[],[82],"[[60, 'Bruno Fernandes', 'Mason Greenwood'], [76, 'Marcus Rashford', 'Jadon Sancho'], [84, 'Anthony Elanga', 'Aaron Wan-Bissaka']]","[[66, 'Adama Traoré', 'Francisco Trincão'], [81, 'Fábio Silva', 'Raúl Jiménez'], [88, 'Leander Dendoncker', 'Daniel Podence']]"
2021-2022,Southampton,Brentford,4,1,"['Fraser Forster', 'Lyanco', 'Oriol Romeu', 'James Ward-Prowse', 'Nathan Redmond', 'Romain Perraud', 'Armando Broja', 'Mohammed Salisu', 'Nathan Tella', 'Ibrahima Diallo', 'Jan Bednarek']","['Willy Caballero', 'Jack Stephens', 'Shane Long', 'Adam Armstrong', 'Che Adams', 'Thierry Small', 'Stuart Armstrong', 'Dynel Simeu', 'Kgagelo Chauke']","[[65, 'Che Adams', 'Nathan Redmond'], [70, 'Stuart Armstrong', 'Nathan Tella'], [78, 'Adam Armstrong', 'Armando Broja']]","['Álvaro Fernández', 'Ethan Pinnock', 'Christian Nørgaard', 'Sergi Canós', 'Ivan Toney', 'Pontus Jansson', 'Bryan Mbeumo', 'Kristoffer Ajer', 'Shandon Baptiste', 'Vitaly Janelt', 'Mads Roerslev']","['Jonas Lössl', 'Dominic Thompson', 'Mathias Jensen', 'Marcus Forss', 'Yoane Wissa', 'Saman Ghoddos', 'Mads Bidstrup', 'Mads Bech Sørensen', 'Finley Stevens']","[[56, 'Yoane Wissa', 'Shandon Baptiste'], [68, 'Mathias Jensen', 'Ethan Pinnock'], [76, 'Finley Stevens', 'Sergi Canós']]","[5, 49, 70]",[23],"[[65, 'Che Adams', 'Nathan Redmond'], [70, 'Stuart Armstrong', 'Nathan Tella'], [78, 'Adam Armstrong', 'Armando Broja']]","[[56, 'Yoane Wissa', 'Shandon Baptiste'], [68, 'Mathias Jensen', 'Ethan Pinnock'], [76, 'Finley Stevens', 'Sergi Canós']]"
2021-2022,West Ham United,Norwich City,2,0,"['Łukasz Fabiański', 'Aaron Cresswell', 'Vladimír Coufal', 'Pablo Fornals', 'Michail Antonio', 'Manuel Lanzini', 'Nikola Vlašić', 'Craig Dawson', 'Jarrod Bowen', 'Issa Diop', 'Declan Rice']","['Alphonse Areola', 'Andriy Yarmolenko', 'Arthur Masuaku', 'Ben Johnson', 'Alex Král', 'Armstrong Okoflex', 'Ajibola Alese', 'Pierre Ekwah Elimby', 'Harrison Ashby']","[[78, 'Arthur Masuaku', 'Nikola Vlašić'], [88, 'Andriy Yarmolenko', 'Michail Antonio']]","['Tim Krul', 'Max Aarons', 'Ben Gibson', 'Grant Hanley', 'Przemysław Płacheta', 'Milot Rashica', 'Pierre Lees-Melou', 'Brandon Williams', 'Teemu Pukki', 'Kenny McLean', 'Adam Idah']","['Angus Gunn', 'Sam Byram', 'Kieran Dowell', 'Ozan Kabak', 'Christos Tzolis', 'Jakob Sørensen', 'Dimitris Giannoulis', 'Liam Gibbs', 'Jon Rowe']","[[65, 'Kieran Dowell', 'Przemysław Płacheta'], [72, 'Christos Tzolis', 'Milot Rashica'], [75, 'Jon Rowe', 'Adam Idah']]","[42, 83]",[],"[[78, 'Arthur Masuaku', 'Nikola Vlašić'], [88, 'Andriy Yarmolenko', 'Michail Antonio']]","[[65, 'Kieran Dowell', 'Przemysław Płacheta'], [72, 'Christos Tzolis', 'Milot Rashica'], [75, 'Jon Rowe', 'Adam Idah']]"
2021-2022,Brighton & Hove Albion,Crystal Palace,1,1,"['Robert Sánchez', 'Marc Cucurella', 'Adam Webster', 'Neal Maupay', 'Alexis Mac Allister', 'Leandro Trossard', 'Pascal Groß', 'Adam Lallana', 'Jakub Moder', 'Dan Burn', 'Joël Veltman']","['Kjell Scherpen', 'Tariq Lamptey', 'Steven Alzate', 'Danny Welbeck', 'Solly March', 'Moisés Caicedo', 'Haydon Roberts', 'Marc Leonard', 'Evan Ferguson']","[[56, 'Tariq Lamptey', 'Adam Lallana'], [73, 'Solly March', 'Pascal Groß'], [73, 'Danny Welbeck', 'Joël Veltman']]","['Jack Butland', 'Joel Ward', 'Tyrick Mitchell', 'Marc Guéhi', 'Michael Olise', 'Eberechi Eze', 'Will Hughes', 'Jeffrey Schlupp', 'Joachim Andersen', 'Odsonne Édouard', 'Conor Gallagher']","['Vicente Guaita', 'Luka Milivojević', 'Jean-Philippe Mateta', 'Nathaniel Clyne', 'Christian Benteke', 'Martin Kelly', 'Nathan Ferguson', 'Jaïro Riedewald', 'Jesuran Rak Sakyi']","[[65, 'Luka Milivojević', 'Eberechi Eze'], [66, 'Jean-Philippe Mateta', 'Odsonne Édouard'], [81, 'Christian Benteke', 'Michael Olise']]",[],[69],"[[56, 'Tariq Lamptey', 'Adam Lallana'], [73, 'Solly March', 'Pascal Groß'], [73, 'Danny Welbeck', 'Joël Veltman']]","[[65, 'Luka Milivojević', 'Eberechi Eze'], [66, 'Jean-Philippe Mateta', 'Odsonne Édouard'], [81, 'Christian Benteke', 'Michael Olise']]"
